hugo_symbol,entrez_gene_id,number_of_samples_mutated_at_gene,total_number_of_mutated_samples,overall_mutation_frequency,cancer_type,number_of_samples_with_gains,number_of_samples_with_losses,total_number_of_samples,percent_of_samples_with_gains,percent_of_samples_with_losses,dataset_name,is_oncogene,is_tumor_suppressor_gene
SNORD10,652966,,,,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
ZNF286B,729288,5,1009,0.50,BRCA,90,567,1070,8.41,52.99,cBioPortal,,
CDH8,1006,12,1009,1.19,BRCA,102,656,1070,9.53,61.31,cBioPortal,,
MPHOSPH10P1,643802,,,,BRCA,148,597,1070,13.83,55.79,cBioPortal,,
INTS10,55174,4,1009,0.40,BRCA,146,562,1070,13.64,52.52,cBioPortal,,
MIR6504,102465251,,,,BRCA,100,679,1070,9.35,63.46,cBioPortal,,
KRT16P2,400578,,,,BRCA,76,598,1070,7.10,55.89,cBioPortal,,
PNOC,5368,,,,BRCA,150,563,1070,14.02,52.62,cBioPortal,,
APOOP5,644649,,,,BRCA,101,656,1070,9.44,61.31,cBioPortal,,
TNFSF13,8741,,,,BRCA,53,650,1070,4.95,60.75,cBioPortal,Yes,No
VPS4A,27183,4,1009,0.40,BRCA,104,663,1070,9.72,61.96,cBioPortal,,
TVP23C-CDRT4,100533496,,,,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
MIR212,406994,,,,BRCA,72,617,1070,6.73,57.66,cBioPortal,,
DNAH9,1770,32,1009,3.17,BRCA,57,641,1070,5.33,59.91,cBioPortal,,
PRAG1,157285,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
MIR124-1,406907,,,,BRCA,150,556,1070,14.02,51.96,cBioPortal,,
PEBP4,157310,,,,BRCA,146,579,1070,13.64,54.11,cBioPortal,,
ZNF395,55893,2,1009,0.20,BRCA,153,560,1070,14.30,52.34,cBioPortal,,
SMCR9,140776,,,,BRCA,84,582,1070,7.85,54.39,cBioPortal,,
PFAS,5198,4,1009,0.40,BRCA,56,644,1070,5.23,60.19,cBioPortal,,
TAT,6898,4,1009,0.40,BRCA,103,661,1070,9.63,61.78,cBioPortal,,
CIAPIN1,57019,2,1009,0.20,BRCA,114,639,1070,10.65,59.72,cBioPortal,,
ZC3H18,124245,4,1009,0.40,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
SLC16A11,162515,,,,BRCA,53,650,1070,4.95,60.75,cBioPortal,,
LOC100505942,100505942,,,,BRCA,93,675,1070,8.69,63.08,cBioPortal,,
SNAI3,333929,4,1009,0.40,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
BCMO1,53630,,,,BRCA,99,680,1070,9.25,63.55,cBioPortal,,
TK2,7084,,,,BRCA,97,667,1070,9.07,62.34,cBioPortal,,
CNTROB,116840,7,1009,0.69,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
HSDL1,83693,,,,BRCA,101,685,1070,9.44,64.02,cBioPortal,,
CIRH1A,84916,,,,BRCA,100,665,1070,9.35,62.15,cBioPortal,,
CHST4,10164,2,1009,0.20,BRCA,104,659,1070,9.72,61.59,cBioPortal,,
CRISPLD2,83716,2,1009,0.20,BRCA,104,685,1070,9.72,64.02,cBioPortal,,
CCAR2,57805,5,1009,0.50,BRCA,144,578,1070,13.46,54.02,cBioPortal,,
EFNB3,1949,2,1009,0.20,BRCA,53,652,1070,4.95,60.93,cBioPortal,,
DEFA8P,449491,,,,BRCA,147,560,1070,13.74,52.34,cBioPortal,,
DPEP3,64180,4,1009,0.40,BRCA,98,667,1070,9.16,62.34,cBioPortal,,
SLC13A5,284111,3,1009,0.30,BRCA,55,643,1070,5.14,60.09,cBioPortal,,
MIR6865,102465522,,,,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
LINC00920,100505865,,,,BRCA,98,666,1070,9.16,62.24,cBioPortal,,
RP11-85B7.2,101928266,,,,BRCA,55,645,1070,5.14,60.28,cBioPortal,,
PHLPP2,23035,7,1009,0.69,BRCA,104,661,1070,9.72,61.78,cBioPortal,No,Yes
TBC1D26,353149,1,1009,0.10,BRCA,61,622,1070,5.70,58.13,cBioPortal,,
LRRC29,26231,1,1009,0.10,BRCA,97,668,1070,9.07,62.43,cBioPortal,,
DNAAF1,123872,3,1009,0.30,BRCA,102,687,1070,9.53,64.21,cBioPortal,,
VPS35,55737,4,1009,0.40,BRCA,168,567,1070,15.70,52.99,cBioPortal,,
ST3GAL2,6483,2,1009,0.20,BRCA,103,660,1070,9.63,61.68,cBioPortal,,
ENTPD4,9583,3,1009,0.30,BRCA,145,579,1070,13.55,54.11,cBioPortal,,
CDH15,1013,4,1009,0.40,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
FAM92B,339145,,,,BRCA,103,686,1070,9.63,64.11,cBioPortal,,
PKD1L3,342372,,,,BRCA,104,665,1070,9.72,62.15,cBioPortal,,
CYB5D1,124637,1,1009,0.10,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
BCAR1,9564,6,1009,0.59,BRCA,109,667,1070,10.19,62.34,cBioPortal,,
DEFB105A,245908,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
MIR6864,102465521,,,,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
KLHL36,79786,,,,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
SPATA33,124045,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
ADAM7,8756,3,1009,0.30,BRCA,149,573,1070,13.93,53.55,cBioPortal,,
MFSD6L,162387,1,1009,0.10,BRCA,58,642,1070,5.42,60.00,cBioPortal,,
DOK2,9046,4,1009,0.40,BRCA,147,569,1070,13.74,53.18,cBioPortal,,
DEFB130,245940,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
TNFSF12-TNFSF13,407977,1,1009,0.10,BRCA,53,650,1070,4.95,60.75,cBioPortal,,
DEFB134,613211,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
LOC100128288,100128288,,,,BRCA,55,642,1070,5.14,60.00,cBioPortal,,
BNIP3L,665,1,1009,0.10,BRCA,149,571,1070,13.93,53.36,cBioPortal,,
TXNL4B,54957,,,,BRCA,105,666,1070,9.81,62.24,cBioPortal,,
SNORD65,692106,,,,BRCA,73,605,1070,6.82,56.54,cBioPortal,,
SFTPC,6440,3,1009,0.30,BRCA,147,573,1070,13.74,53.55,cBioPortal,,
NPAP1L,729159,,,,BRCA,100,655,1070,9.35,61.21,cBioPortal,,
DEFB1,1672,1,1009,0.10,BRCA,148,558,1070,13.83,52.15,cBioPortal,,
DEFB135,613209,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
MIR4288,100422903,,,,BRCA,155,559,1070,14.49,52.24,cBioPortal,,
ATPAF2,91647,,,,BRCA,85,573,1070,7.94,53.55,cBioPortal,,
CDRT15,146822,3,1009,0.30,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
NDRG4,65009,3,1009,0.30,BRCA,103,653,1070,9.63,61.03,cBioPortal,,
LOC100287036,100287036,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
TNK1,8711,1,1009,0.10,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
LINC00670,284034,,,,BRCA,57,636,1070,5.33,59.44,cBioPortal,,
MTMR9,66036,4,1009,0.40,BRCA,146,557,1070,13.64,52.06,cBioPortal,,
SLC25A35,399512,,,,BRCA,56,643,1070,5.23,60.09,cBioPortal,,
MVD,4597,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
KDM6B,23135,4,1009,0.40,BRCA,57,646,1070,5.33,60.37,cBioPortal,,
CX3CL1,6376,2,1009,0.20,BRCA,115,638,1070,10.75,59.63,cBioPortal,,
CTRL,1506,1,1009,0.10,BRCA,96,670,1070,8.97,62.62,cBioPortal,,
SPG7,6687,5,1009,0.50,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
LGI3,203190,2,1009,0.20,BRCA,147,572,1070,13.74,53.46,cBioPortal,,
ZZEF1,23140,12,1009,1.19,BRCA,74,619,1070,6.92,57.85,cBioPortal,,
CETP,1071,3,1009,0.30,BRCA,119,637,1070,11.12,59.53,cBioPortal,,
C16orf3,750,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
MBTPS1,8720,6,1009,0.59,BRCA,101,685,1070,9.44,64.02,cBioPortal,,
UBE2G1,7326,2,1009,0.20,BRCA,73,622,1070,6.82,58.13,cBioPortal,,
CES1P1,51716,,,,BRCA,130,620,1070,12.15,57.94,cBioPortal,,
ZFP1,162239,,,,BRCA,109,666,1070,10.19,62.24,cBioPortal,,
COQ9,57017,,,,BRCA,115,637,1070,10.75,59.53,cBioPortal,,
FBXO31,79791,2,1009,0.20,BRCA,103,684,1070,9.63,63.93,cBioPortal,No,No
ENO3,2027,3,1009,0.30,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
KRT17P5,339240,,,,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
MIR548AE2,100616339,,,,BRCA,175,567,1070,16.36,52.99,cBioPortal,,
SGCZ,137868,2,1009,0.20,BRCA,151,562,1070,14.11,52.52,cBioPortal,,
HSD11B2,3291,,,,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
LOC100129617,100129617,,,,BRCA,101,680,1070,9.44,63.55,cBioPortal,,
TVP23B,51030,,,,BRCA,90,562,1070,8.41,52.52,cBioPortal,,
C16orf47,463,,,,BRCA,100,668,1070,9.35,62.43,cBioPortal,,
LCAT,3931,2,1009,0.20,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
HAS3,3038,1,1009,0.10,BRCA,100,665,1070,9.35,62.15,cBioPortal,,
SLC52A1,55065,1,1009,0.10,BRCA,69,622,1070,6.45,58.13,cBioPortal,,
CHD9,80205,18,1009,1.78,BRCA,151,595,1070,14.11,55.61,cBioPortal,,
RP11-1080G15.1,100128993,,,,BRCA,150,557,1070,14.02,52.06,cBioPortal,,
ASPA,443,4,1009,0.40,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
LOC101927839,101927839,,,,BRCA,72,617,1070,6.73,57.66,cBioPortal,,
FAM96B,51647,,,,BRCA,96,666,1070,8.97,62.24,cBioPortal,,
BMP1,649,3,1009,0.30,BRCA,147,571,1070,13.74,53.36,cBioPortal,,
DYNC1LI2,1783,4,1009,0.40,BRCA,98,665,1070,9.16,62.15,cBioPortal,,
MGC12916,84815,,,,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
SMG6,23293,6,1009,0.59,BRCA,77,615,1070,7.20,57.48,cBioPortal,,
EIF4A1,1973,4,1009,0.40,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
PLCG2,5336,11,1009,1.09,BRCA,100,681,1070,9.35,63.64,cBioPortal,Yes,No
TNFRSF10C,8794,1,1009,0.10,BRCA,143,581,1070,13.36,54.30,cBioPortal,,
MARVELD3,91862,,,,BRCA,103,661,1070,9.63,61.78,cBioPortal,,
CENPT,80152,1,1009,0.10,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
FAM64A,54478,,,,BRCA,57,639,1070,5.33,59.72,cBioPortal,,
PIRT,644139,2,1009,0.20,BRCA,55,638,1070,5.14,59.63,cBioPortal,,
TLDC1,57707,,,,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
LINC00681,101409254,,,,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
GPR114,221188,,,,BRCA,113,641,1070,10.56,59.91,cBioPortal,,
GAS8,2622,4,1009,0.40,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
XPO7,23039,10,1009,0.99,BRCA,146,570,1070,13.64,53.27,cBioPortal,,
C17orf107,100130311,,,,BRCA,71,619,1070,6.64,57.85,cBioPortal,,
TIMM22,29928,1,1009,0.10,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
VPS9D1-AS1,100128881,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
FAM90A2P,729689,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
POLR2C,5432,1,1009,0.10,BRCA,115,637,1070,10.75,59.53,cBioPortal,,
DPEP2NB,100131303,,,,BRCA,99,667,1070,9.25,62.34,cBioPortal,,
STMN4,81551,3,1009,0.30,BRCA,152,565,1070,14.21,52.80,cBioPortal,,
LINC01568,100506172,,,,BRCA,99,668,1070,9.25,62.43,cBioPortal,,
TRIM35,23087,4,1009,0.40,BRCA,154,564,1070,14.39,52.71,cBioPortal,,
FAM90A25P,389633,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
ZFP90,146198,2,1009,0.20,BRCA,103,665,1070,9.63,62.15,cBioPortal,,
SERPINF2,5345,2,1009,0.20,BRCA,70,619,1070,6.54,57.85,cBioPortal,,
ATP6V0D1,9114,,,,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
DEFB4A,1673,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CDH1,999,130,1009,12.88,BRCA,102,663,1070,9.53,61.96,cBioPortal,No,Yes
FBXO39,162517,3,1009,0.30,BRCA,55,644,1070,5.14,60.19,cBioPortal,,
KCNG4,93107,5,1009,0.50,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
MYOCD,93649,8,1009,0.79,BRCA,55,636,1070,5.14,59.44,cBioPortal,,
SLC16A13,201232,1,1009,0.10,BRCA,53,650,1070,4.95,60.75,cBioPortal,,
RANBP10,57610,2,1009,0.20,BRCA,96,673,1070,8.97,62.90,cBioPortal,,
TRPV3,162514,5,1009,0.50,BRCA,70,617,1070,6.54,57.66,cBioPortal,,
STC1,6781,3,1009,0.30,BRCA,147,574,1070,13.74,53.64,cBioPortal,,
TMEM220,388335,1,1009,0.10,BRCA,55,639,1070,5.14,59.72,cBioPortal,,
TMEM208,29100,,,,BRCA,96,669,1070,8.97,62.52,cBioPortal,,
FANCA,2175,10,1009,0.99,BRCA,106,683,1070,9.91,63.83,cBioPortal,No,Yes
KCNAB3,9196,2,1009,0.20,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
MMP15,4324,5,1009,0.50,BRCA,104,650,1070,9.72,60.75,cBioPortal,,
FAM90A10P,441328,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
ALOX12P2,245,,,,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
INTS9,55756,2,1009,0.20,BRCA,153,562,1070,14.30,52.52,cBioPortal,,
FAM167A,83648,3,1009,0.30,BRCA,148,556,1070,13.83,51.96,cBioPortal,,
FGF11,2256,2,1009,0.20,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
CXCL16,58191,1,1009,0.10,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
FXR2,9513,5,1009,0.50,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
TERF2IP,54386,4,1009,0.40,BRCA,106,667,1070,9.91,62.34,cBioPortal,,
C17orf49,124944,1,1009,0.10,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
GSG2,83903,,,,BRCA,70,619,1070,6.54,57.85,cBioPortal,,
NOD2,64127,3,1009,0.30,BRCA,146,594,1070,13.64,55.51,cBioPortal,,
CTRB1,1504,2,1009,0.20,BRCA,109,667,1070,10.19,62.34,cBioPortal,,
NQO1,1728,1,1009,0.10,BRCA,106,661,1070,9.91,61.78,cBioPortal,Yes,No
OR1A2,26189,5,1009,0.50,BRCA,71,616,1070,6.64,57.57,cBioPortal,,
C17orf59,54785,,,,BRCA,56,644,1070,5.23,60.19,cBioPortal,,
TNFRSF10A,8797,3,1009,0.30,BRCA,144,579,1070,13.46,54.11,cBioPortal,,
DEFT1P,170949,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CMTM4,146223,,,,BRCA,97,666,1070,9.07,62.24,cBioPortal,,
TMEM102,284114,,,,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
EPHX2,2053,2,1009,0.20,BRCA,159,559,1070,14.86,52.24,cBioPortal,,
PRSS54,221191,4,1009,0.40,BRCA,103,653,1070,9.63,61.03,cBioPortal,,
ATXN1L,342371,2,1009,0.20,BRCA,104,662,1070,9.72,61.87,cBioPortal,,
RNASEK-C17orf49,100529209,,,,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
SLC25A37,51312,,,,BRCA,145,579,1070,13.55,54.11,cBioPortal,,
SLC7A6,9057,1,1009,0.10,BRCA,104,667,1070,9.72,62.34,cBioPortal,,
ATP6V1B2,526,2,1009,0.20,BRCA,145,568,1070,13.55,53.08,cBioPortal,No,Yes
FAM66B,100128890,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
RPH3AL,9501,2,1009,0.20,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
P2RX1,5023,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
CTU2,348180,2,1009,0.20,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
IST1,9798,1,1009,0.10,BRCA,103,663,1070,9.63,61.96,cBioPortal,,
PSKH1,5681,3,1009,0.30,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
SNORA67,26781,,,,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
LPCAT2,54947,5,1009,0.50,BRCA,131,615,1070,12.24,57.48,cBioPortal,,
MYH4,4622,18,1009,1.78,BRCA,53,640,1070,4.95,59.81,cBioPortal,,
FLJ35934,400579,,,,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
TTC19,54902,3,1009,0.30,BRCA,63,622,1070,5.89,58.13,cBioPortal,,
CPNE2,221184,4,1009,0.40,BRCA,117,642,1070,10.93,60.00,cBioPortal,,
MNT,4335,3,1009,0.30,BRCA,76,613,1070,7.10,57.29,cBioPortal,,
NKX2-6,137814,2,1009,0.20,BRCA,146,578,1070,13.64,54.02,cBioPortal,,
HP,3240,,,,BRCA,105,666,1070,9.81,62.24,cBioPortal,,
SLC38A7,55238,6,1009,0.59,BRCA,101,653,1070,9.44,61.03,cBioPortal,,
PLD6,201164,2,1009,0.20,BRCA,82,588,1070,7.66,54.95,cBioPortal,,
USP43,124739,5,1009,0.50,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
MIR8058,102465863,,,,BRCA,99,682,1070,9.25,63.74,cBioPortal,,
CFDP1,10428,1,1009,0.10,BRCA,110,666,1070,10.28,62.24,cBioPortal,,
TMEM231,79583,,,,BRCA,108,667,1070,10.09,62.34,cBioPortal,,
USP17L7,392197,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
CDRT1,374286,7,1009,0.69,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
MIR4287,100422828,,,,BRCA,154,560,1070,14.39,52.34,cBioPortal,,
CES4A,283848,,,,BRCA,96,667,1070,8.97,62.34,cBioPortal,,
LINC02133,101927132,,,,BRCA,177,561,1070,16.54,52.43,cBioPortal,,
C16orf86,388284,2,1009,0.20,BRCA,94,675,1070,8.79,63.08,cBioPortal,,
ADPRM,56985,1,1009,0.10,BRCA,55,639,1070,5.14,59.72,cBioPortal,,
LOC284009,284009,,,,BRCA,76,614,1070,7.10,57.38,cBioPortal,,
DDX19B,11269,2,1009,0.20,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
ZDHHC2,51201,1,1009,0.10,BRCA,146,565,1070,13.64,52.80,cBioPortal,,
NIP7,51388,2,1009,0.20,BRCA,104,663,1070,9.72,61.96,cBioPortal,,
PPP1R3B,79660,3,1009,0.30,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
C16orf87,388272,3,1009,0.30,BRCA,170,566,1070,15.89,52.90,cBioPortal,,
RAI1,10743,5,1009,0.50,BRCA,85,579,1070,7.94,54.11,cBioPortal,,
ERI1,90459,,,,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
MIR1972-2,100422922,,,,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
EMC6,83460,,,,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
CLUH,23277,8,1009,0.79,BRCA,72,615,1070,6.73,57.48,cBioPortal,,
APRT,353,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
CD68,968,6,1009,0.59,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
LINC03093,101929172,,,,BRCA,143,570,1070,13.36,53.27,cBioPortal,,
SMYD4,114826,4,1009,0.40,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
ELP3,55140,1,1009,0.10,BRCA,154,559,1070,14.39,52.24,cBioPortal,,
GCSH,2653,,,,BRCA,98,680,1070,9.16,63.55,cBioPortal,,
MIR6771,102465462,,,,BRCA,145,594,1070,13.55,55.51,cBioPortal,,
FBXW10,10517,9,1009,0.89,BRCA,90,565,1070,8.41,52.80,cBioPortal,,
CALB2,794,2,1009,0.20,BRCA,104,658,1070,9.72,61.50,cBioPortal,,
LOC100506281,100506281,,,,BRCA,109,667,1070,10.19,62.34,cBioPortal,,
SPIRE2,84501,2,1009,0.20,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
MED9,55090,,,,BRCA,82,584,1070,7.66,54.58,cBioPortal,,
COPS3,8533,5,1009,0.50,BRCA,82,587,1070,7.66,54.86,cBioPortal,,
SCARA5,286133,4,1009,0.40,BRCA,155,560,1070,14.49,52.34,cBioPortal,,
AP1G1,164,6,1009,0.59,BRCA,104,662,1070,9.72,61.87,cBioPortal,,
MIR6772,102465463,,,,BRCA,106,647,1070,9.91,60.47,cBioPortal,,
ZNF286A,57335,5,1009,0.50,BRCA,61,622,1070,5.70,58.13,cBioPortal,,
HEATR3,55027,6,1009,0.59,BRCA,143,597,1070,13.36,55.79,cBioPortal,,
ELP5,23587,4,1009,0.40,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
MT1B,4490,,,,BRCA,121,636,1070,11.31,59.44,cBioPortal,,
ACD,65057,1,1009,0.10,BRCA,94,675,1070,8.79,63.08,cBioPortal,,
PINX1,54984,4,1009,0.40,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
C16orf80,29105,,,,BRCA,104,653,1070,9.72,61.03,cBioPortal,,
SMG1P7,100506060,,,,BRCA,103,660,1070,9.63,61.68,cBioPortal,,
GABARAP,11337,2,1009,0.20,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
MIR22,407004,,,,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
PRPSAP2,5636,4,1009,0.40,BRCA,93,560,1070,8.69,52.34,cBioPortal,,
MTHFSD,64779,2,1009,0.20,BRCA,103,681,1070,9.63,63.64,cBioPortal,,
FENDRR,400550,,,,BRCA,103,680,1070,9.63,63.55,cBioPortal,,
DEF8,54849,1,1009,0.10,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
SHISA6,388336,3,1009,0.30,BRCA,55,643,1070,5.14,60.09,cBioPortal,,
ZMYND15,84225,4,1009,0.40,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
PLEKHG4,25894,3,1009,0.30,BRCA,97,670,1070,9.07,62.62,cBioPortal,,
MYH10,4628,16,1009,1.59,BRCA,57,644,1070,5.33,60.19,cBioPortal,,
MFHAS1,9258,4,1009,0.40,BRCA,149,554,1070,13.93,51.78,cBioPortal,,
SHBG,6462,,,,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
LINC00965,349196,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
P2RX5-TAX1BP3,100533970,,,,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
REEP4,80346,3,1009,0.30,BRCA,146,573,1070,13.64,53.55,cBioPortal,,
TRIM16L,147166,2,1009,0.20,BRCA,90,565,1070,8.41,52.80,cBioPortal,,
LINC00304,283860,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
TRIM16,10626,2,1009,0.20,BRCA,58,628,1070,5.42,58.69,cBioPortal,,
SCARF1,8578,1,1009,0.10,BRCA,74,616,1070,6.92,57.57,cBioPortal,,
hsa-mir-3181,,,,,BRCA,148,592,1070,13.83,55.33,cBioPortal,,
RTN4RL1,146760,1,1009,0.10,BRCA,73,618,1070,6.82,57.76,cBioPortal,,
MIR1538,100302119,,,,BRCA,107,659,1070,10.00,61.59,cBioPortal,,
DEFB103A,414325,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
SNORA70D,100379141,,,,BRCA,104,661,1070,9.72,61.78,cBioPortal,,
CES1P2,390732,,,,BRCA,130,620,1070,12.15,57.94,cBioPortal,,
EVPLL,645027,,,,BRCA,89,568,1070,8.32,53.08,cBioPortal,,
MIR138-2,406930,,,,BRCA,121,634,1070,11.31,59.25,cBioPortal,,
MSRA,4482,1,1009,0.10,BRCA,151,556,1070,14.11,51.96,cBioPortal,,
SYCE1L,100130958,2,1009,0.20,BRCA,101,674,1070,9.44,62.99,cBioPortal,,
DNAJA2,10294,2,1009,0.20,BRCA,173,563,1070,16.17,52.62,cBioPortal,,
SPAG11A,653423,2,1009,0.20,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
SLC18A1,6570,3,1009,0.30,BRCA,145,568,1070,13.55,53.08,cBioPortal,,
NUGGC,389643,2,1009,0.20,BRCA,156,558,1070,14.58,52.15,cBioPortal,,
NPM2,10361,,,,BRCA,145,571,1070,13.55,53.36,cBioPortal,,
CHST6,4166,,,,BRCA,109,666,1070,10.19,62.24,cBioPortal,,
ARHGEF15,22899,7,1009,0.69,BRCA,55,642,1070,5.14,60.00,cBioPortal,,
CBFB,865,25,1009,2.48,BRCA,95,669,1070,8.88,62.52,cBioPortal,No,Yes
CMTR2,55783,6,1009,0.59,BRCA,103,658,1070,9.63,61.50,cBioPortal,No,Yes
CLEC18B,497190,2,1009,0.20,BRCA,106,665,1070,9.91,62.15,cBioPortal,,
SLC7A5,8140,1,1009,0.10,BRCA,103,683,1070,9.63,63.83,cBioPortal,,
LINC01227,101928276,,,,BRCA,97,680,1070,9.07,63.55,cBioPortal,,
FBXL8,55336,1,1009,0.10,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
TMEM88,92162,,,,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
COG4,25839,2,1009,0.20,BRCA,107,658,1070,10.00,61.50,cBioPortal,,
ELAC2,60528,6,1009,0.59,BRCA,54,629,1070,5.05,58.79,cBioPortal,,
MIR598,693183,,,,BRCA,147,556,1070,13.74,51.96,cBioPortal,,
SHMT1,6470,1,1009,0.10,BRCA,87,566,1070,8.13,52.90,cBioPortal,,
LINC01081,101154687,,,,BRCA,103,681,1070,9.63,63.64,cBioPortal,,
SPATA22,84690,1,1009,0.10,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
CAMTA2,23125,5,1009,0.50,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
CNTNAP4,85445,9,1009,0.89,BRCA,105,669,1070,9.81,62.52,cBioPortal,,
NRN1L,123904,,,,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
DEFA5,1670,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CMIP,80790,2,1009,0.20,BRCA,102,680,1070,9.53,63.55,cBioPortal,,
BLK,640,4,1009,0.40,BRCA,147,558,1070,13.74,52.15,cBioPortal,,
MIR328,442901,,,,BRCA,97,668,1070,9.07,62.43,cBioPortal,,
RLTPR,146206,,,,BRCA,94,675,1070,8.79,63.08,cBioPortal,,
NTN1,9423,,,,BRCA,57,645,1070,5.33,60.28,cBioPortal,,
WFDC1,58189,,,,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
NAT2,10,1,1009,0.10,BRCA,157,555,1070,14.67,51.87,cBioPortal,,
RHOBTB2,23221,5,1009,0.50,BRCA,145,580,1070,13.55,54.21,cBioPortal,,
AFG3L1P,172,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
SALL1,6299,14,1009,1.39,BRCA,150,587,1070,14.02,54.86,cBioPortal,,
NUTF2,10204,1,1009,0.10,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
PRR23D2,100133251,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
