n,hugo_symbol_a,entrez_gene_id_a,hugo_symbol_b,entrez_gene_id_b,spearmancorr,spearmanp,pearsoncorr,pearsonp,spearmancorrsquare,pearsoncorrsquare,cancer_type,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
48,A1BG,1,ALDH2,217,0.294,0.043,0.278,0.056,0.086,0.077,DLBC,cBioPortal,,,No,Yes
48,A1BG,1,ALDH6A1,4329,-0.597,0,-0.441,0.002,0.356,0.194,DLBC,cBioPortal,,,,
48,A1BG,1,ALDH9A1,223,-0.203,0.166,-0.356,0.013,0.041,0.127,DLBC,cBioPortal,,,,
48,A1BG,1,ALDOA,226,0.376,0.009,0.336,0.02,0.141,0.113,DLBC,cBioPortal,,,,
48,A1BG,1,ALDOC,230,0.492,0,0.394,0.006,0.242,0.155,DLBC,cBioPortal,,,,
48,A1BG,1,ALG10,84920,-0.466,0.001,-0.416,0.003,0.217,0.173,DLBC,cBioPortal,,,,
48,A1BG,1,ALG10B,144245,-0.153,0.299,-0.219,0.134,0.023,0.048,DLBC,cBioPortal,,,,
48,A1BG,1,ALG11,440138,-0.293,0.043,-0.25,0.086,0.086,0.063,DLBC,cBioPortal,,,,
48,A1BG,1,ALG13,79868,-0.372,0.009,-0.373,0.009,0.138,0.139,DLBC,cBioPortal,,,,
48,A1BG,1,ALG14,199857,0.426,0.003,0.302,0.037,0.181,0.091,DLBC,cBioPortal,,,,
48,A1BG,1,ALG1L,200810,0.474,0.001,0.266,0.067,0.225,0.071,DLBC,cBioPortal,,,,
48,A1BG,1,ALG2,85365,-0.363,0.011,-0.413,0.004,0.131,0.171,DLBC,cBioPortal,,,,
48,A1BG,1,ALG3,10195,0.234,0.109,0.24,0.101,0.055,0.057,DLBC,cBioPortal,,,,
48,A1BG,1,ALG6,29929,0.105,0.479,0.224,0.127,0.011,0.05,DLBC,cBioPortal,,,,
48,A1BG,1,ALG9,79796,0.07,0.636,0.396,0.005,0.005,0.157,DLBC,cBioPortal,,,,
48,A1BG,1,ALK,238,0.35,0.015,0.287,0.048,0.123,0.083,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,ALKBH1,8846,-0.391,0.006,-0.279,0.055,0.153,0.078,DLBC,cBioPortal,,,,
48,A1BG,1,ALKBH2,121642,0.153,0.3,0.317,0.028,0.023,0.101,DLBC,cBioPortal,,,,
48,A1BG,1,ALKBH3,221120,0.368,0.01,0.392,0.006,0.136,0.154,DLBC,cBioPortal,,,,
48,A1BG,1,ALKBH4,54784,0.661,0,0.625,0,0.437,0.391,DLBC,cBioPortal,,,,
48,A1BG,1,ALKBH6,84964,0.609,0,0.519,0,0.371,0.269,DLBC,cBioPortal,,,,
48,A1BG,1,ALKBH7,84266,0.621,0,0.677,0,0.386,0.459,DLBC,cBioPortal,,,,
48,A1BG,1,ALMS1,7840,-0.319,0.027,-0.259,0.076,0.102,0.067,DLBC,cBioPortal,,,,
48,A1BG,1,ALMS1P,200420,0.15,0.309,0.363,0.011,0.022,0.131,DLBC,cBioPortal,,,,
48,A1BG,1,ALOX12,239,-0.394,0.006,-0.275,0.059,0.155,0.075,DLBC,cBioPortal,,,,
48,A1BG,1,ALOX12B,242,0.197,0.18,0.231,0.114,0.039,0.053,DLBC,cBioPortal,,,Yes,Yes
48,A1BG,1,ALOX5,240,-0.265,0.069,-0.26,0.075,0.07,0.068,DLBC,cBioPortal,,,,
48,A1BG,1,ALOX5AP,241,0.561,0,0.521,0,0.314,0.272,DLBC,cBioPortal,,,,
48,A1BG,1,ALOXE3,59344,-0.129,0.381,0.315,0.029,0.017,0.099,DLBC,cBioPortal,,,,
48,A1BG,1,ALPK3,57538,-0.342,0.017,-0.333,0.021,0.117,0.111,DLBC,cBioPortal,,,,
48,A1BG,1,ALPPL2,251,-0.438,0.002,-0.25,0.087,0.192,0.062,DLBC,cBioPortal,,,,
48,A1BG,1,ALS2,57679,-0.437,0.002,-0.462,0.001,0.191,0.214,DLBC,cBioPortal,,,,
48,A1BG,1,ALS2CR11,151254,-0.473,0.001,-0.289,0.046,0.224,0.084,DLBC,cBioPortal,,,,
48,A1BG,1,ALS2CR12,130540,-0.34,0.018,-0.206,0.16,0.116,0.042,DLBC,cBioPortal,,,,
48,A1BG,1,ALS2CR4,65062,-0.312,0.031,-0.31,0.032,0.097,0.096,DLBC,cBioPortal,,,,
48,A1BG,1,ALS2CR8,79800,-0.288,0.047,-0.276,0.058,0.083,0.076,DLBC,cBioPortal,,,,
48,A1BG,1,ALX3,257,-0.37,0.01,-0.315,0.029,0.137,0.099,DLBC,cBioPortal,,,,
48,A1BG,1,ALX4,60529,-0.293,0.043,-0.216,0.14,0.086,0.047,DLBC,cBioPortal,,,,
48,A1BG,1,AMAC1,146861,0.132,0.369,0.204,0.164,0.018,0.042,DLBC,cBioPortal,,,,
48,A1BG,1,AMBN,258,-0.444,0.002,-0.336,0.019,0.197,0.113,DLBC,cBioPortal,,,,
48,A1BG,1,AMBRA1,55626,-0.322,0.026,-0.295,0.042,0.104,0.087,DLBC,cBioPortal,,,,
48,A1BG,1,AMD1,262,-0.47,0.001,-0.411,0.004,0.221,0.169,DLBC,cBioPortal,,,,
48,A1BG,1,AMDHD2,51005,0.437,0.002,0.357,0.013,0.191,0.127,DLBC,cBioPortal,,,,
48,A1BG,1,AMELY,266,0.247,0.09,0.409,0.004,0.061,0.168,DLBC,cBioPortal,,,,
48,A1BG,1,AMHR2,269,-0.438,0.002,-0.27,0.064,0.192,0.073,DLBC,cBioPortal,,,,
48,A1BG,1,AMIGO3,386724,0.365,0.011,0.302,0.037,0.134,0.091,DLBC,cBioPortal,,,,
48,A1BG,1,AMMECR1,9949,-0.658,0,-0.602,0,0.433,0.363,DLBC,cBioPortal,,,,
48,A1BG,1,AMMECR1L,83607,-0.414,0.003,-0.376,0.008,0.172,0.142,DLBC,cBioPortal,,,,
48,A1BG,1,AMOTL2,51421,-0.205,0.163,-0.269,0.065,0.042,0.072,DLBC,cBioPortal,,,,
48,A1BG,1,AMPH,273,-0.309,0.032,-0.244,0.095,0.096,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,AMT,275,0.353,0.014,0.259,0.075,0.125,0.067,DLBC,cBioPortal,,,,
48,A1BG,1,AMY2A,279,0.225,0.123,0.21,0.151,0.051,0.044,DLBC,cBioPortal,,,,
48,A1BG,1,AMZ1,155185,0.157,0.287,0.392,0.006,0.025,0.153,DLBC,cBioPortal,,,,
48,A1BG,1,AMZ2,51321,0.356,0.013,0.413,0.004,0.127,0.17,DLBC,cBioPortal,,,,
48,A1BG,1,AMZ2P1,201283,0.411,0.004,0.428,0.002,0.169,0.183,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC10,10393,-0.428,0.002,-0.341,0.018,0.183,0.116,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC11,51529,0.58,0,0.601,0,0.336,0.361,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC13,25847,0.322,0.026,0.282,0.052,0.104,0.079,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC16,119504,0.568,0,0.578,0,0.322,0.334,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC1,64682,-0.703,0,-0.643,0,0.494,0.413,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC2,29882,0.442,0.002,0.373,0.009,0.195,0.139,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC4,29945,0.123,0.404,0.227,0.121,0.015,0.051,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC5,51433,0.03,0.842,0.242,0.098,0.001,0.058,DLBC,cBioPortal,,,,
48,A1BG,1,ANAPC7,51434,0.206,0.16,0.263,0.071,0.043,0.069,DLBC,cBioPortal,,,,
48,A1BG,1,ANGEL1,23357,-0.219,0.135,-0.278,0.056,0.048,0.077,DLBC,cBioPortal,,,,
48,A1BG,1,ANGEL2,90806,-0.305,0.035,-0.32,0.026,0.093,0.103,DLBC,cBioPortal,,,,
48,A1BG,1,ANGPT1,284,-0.233,0.112,-0.252,0.084,0.054,0.064,DLBC,cBioPortal,,,,
48,A1BG,1,ANGPT2,285,-0.437,0.002,-0.335,0.02,0.191,0.112,DLBC,cBioPortal,,,,
48,A1BG,1,ANGPTL4,51129,0.024,0.874,0.425,0.003,0.001,0.181,DLBC,cBioPortal,,,,
48,A1BG,1,ANGPTL5,253935,-0.07,0.638,0.224,0.126,0.005,0.05,DLBC,cBioPortal,,,,
48,A1BG,1,ANGPTL6,83854,0.342,0.017,0.262,0.072,0.117,0.069,DLBC,cBioPortal,,,,
48,A1BG,1,ANKAR,150709,-0.231,0.114,-0.227,0.121,0.054,0.051,DLBC,cBioPortal,,,,
48,A1BG,1,ANKDD1A,348094,0.17,0.248,0.277,0.056,0.029,0.077,DLBC,cBioPortal,,,,
48,A1BG,1,ANKFY1,51479,-0.407,0.004,-0.458,0.001,0.166,0.21,DLBC,cBioPortal,,,,
48,A1BG,1,ANKHD1,54882,-0.38,0.008,-0.37,0.01,0.144,0.137,DLBC,cBioPortal,,,,
48,A1BG,1,ANKHD1-EIF4EBP3,404734,-0.506,0,-0.493,0,0.256,0.243,DLBC,cBioPortal,,,,
48,A1BG,1,ANKIB1,54467,-0.487,0,-0.5,0,0.237,0.25,DLBC,cBioPortal,,,,
48,A1BG,1,ANKK1,255239,0.442,0.002,0.454,0.001,0.195,0.206,DLBC,cBioPortal,,,,
48,A1BG,1,ANKLE1,126549,-0.369,0.01,-0.34,0.018,0.136,0.115,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRA2,57763,-0.314,0.03,-0.416,0.003,0.099,0.173,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD10,55608,-0.205,0.163,-0.249,0.088,0.042,0.062,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD11,29123,-0.403,0.005,-0.406,0.004,0.162,0.165,DLBC,cBioPortal,,,No,Yes
48,A1BG,1,ANKRD12,23253,-0.522,0,-0.502,0,0.273,0.252,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD13C,81573,-0.47,0.001,-0.418,0.003,0.221,0.175,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD16,54522,0.095,0.521,0.23,0.115,0.009,0.053,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD17,26057,-0.698,0,-0.622,0,0.488,0.387,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD19,138649,0.582,0,0.633,0,0.339,0.401,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD20A3,441425,-0.257,0.078,-0.249,0.088,0.066,0.062,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD2,26287,0.184,0.211,0.243,0.096,0.034,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD23,200539,-0.302,0.037,-0.235,0.108,0.091,0.055,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD26,22852,-0.59,0,-0.491,0,0.348,0.241,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,ANKRD27,84079,-0.662,0,-0.511,0,0.439,0.261,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD28,23243,-0.474,0.001,-0.411,0.004,0.225,0.169,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD31,256006,-0.409,0.004,-0.32,0.027,0.167,0.102,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD32,84250,-0.609,0,-0.633,0,0.371,0.4,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD34C,390616,0.128,0.388,0.228,0.119,0.016,0.052,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD36,375248,-0.432,0.002,-0.272,0.062,0.187,0.074,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD36B,57730,-0.511,0,-0.445,0.002,0.261,0.198,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD36BP1,84832,-0.614,0,-0.492,0,0.376,0.242,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD37,353322,0.241,0.098,0.244,0.095,0.058,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD39,51239,0.45,0.001,0.55,0,0.203,0.303,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD40,91369,-0.587,0,-0.484,0,0.345,0.235,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD44,91526,-0.492,0,-0.458,0.001,0.242,0.21,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD50,57182,-0.374,0.009,-0.355,0.013,0.14,0.126,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD52,283373,-0.48,0.001,-0.432,0.002,0.231,0.187,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD54,129138,0.298,0.04,0.494,0,0.089,0.244,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD5,63926,-0.349,0.015,-0.295,0.042,0.122,0.087,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD58,347454,0.234,0.11,0.333,0.021,0.055,0.111,DLBC,cBioPortal,,,,
48,A1BG,1,ANKRD7,56311,0.136,0.356,0.281,0.053,0.019,0.079,DLBC,cBioPortal,,,,
48,A1BG,1,ANKS1A,23294,-0.439,0.002,-0.403,0.005,0.193,0.162,DLBC,cBioPortal,,,,
48,A1BG,1,ANKS1B,56899,0.041,0.781,0.343,0.017,0.002,0.118,DLBC,cBioPortal,,,,
48,A1BG,1,ANKS3,124401,0.453,0.001,0.377,0.008,0.205,0.142,DLBC,cBioPortal,,,,
48,A1BG,1,ANKZF1,55139,0.399,0.005,0.324,0.025,0.159,0.105,DLBC,cBioPortal,,,,
48,A1BG,1,ANLN,54443,-0.678,0,-0.559,0,0.46,0.312,DLBC,cBioPortal,,,,
48,A1BG,1,ANO1,55107,-0.208,0.156,-0.207,0.158,0.043,0.043,DLBC,cBioPortal,,,,
48,A1BG,1,ANO2,57101,-0.288,0.047,-0.216,0.14,0.083,0.047,DLBC,cBioPortal,,,,
48,A1BG,1,ANO6,196527,-0.68,0,-0.604,0,0.463,0.364,DLBC,cBioPortal,,,,
48,A1BG,1,ANO7,50636,0.507,0,0.24,0.101,0.257,0.057,DLBC,cBioPortal,,,,
48,A1BG,1,ANO8,57719,-0.464,0.001,-0.394,0.006,0.215,0.155,DLBC,cBioPortal,,,,
48,A1BG,1,ANO9,338440,0.444,0.002,0.333,0.021,0.197,0.111,DLBC,cBioPortal,,,,
48,A1BG,1,ANP32A,8125,0.168,0.253,0.212,0.148,0.028,0.045,DLBC,cBioPortal,,,,
48,A1BG,1,ANP32B,10541,0.466,0.001,0.605,0,0.217,0.366,DLBC,cBioPortal,,,,
48,A1BG,1,ANP32C,23520,0.174,0.237,0.221,0.131,0.03,0.049,DLBC,cBioPortal,,,,
48,A1BG,1,ANP32D,23519,-0.338,0.019,-0.283,0.051,0.114,0.08,DLBC,cBioPortal,,,,
48,A1BG,1,ANP32E,81611,-0.349,0.015,-0.336,0.019,0.122,0.113,DLBC,cBioPortal,,,,
48,A1BG,1,ANTXR1,84168,-0.245,0.094,-0.24,0.1,0.06,0.058,DLBC,cBioPortal,,,,
48,A1BG,1,ANTXR2,118429,-0.429,0.002,-0.436,0.002,0.184,0.19,DLBC,cBioPortal,,,,
48,A1BG,1,ANXA1,301,-0.318,0.027,-0.301,0.038,0.101,0.09,DLBC,cBioPortal,,,,
48,A1BG,1,ANXA2P1,303,-0.414,0.003,-0.416,0.003,0.172,0.173,DLBC,cBioPortal,,,,
48,A1BG,1,ANXA2P2,304,-0.204,0.163,-0.253,0.083,0.042,0.064,DLBC,cBioPortal,,,,
48,A1BG,1,ANXA5,308,-0.383,0.007,-0.371,0.009,0.147,0.138,DLBC,cBioPortal,,,,
48,A1BG,1,ANXA7,310,-0.109,0.461,-0.247,0.09,0.012,0.061,DLBC,cBioPortal,,,,
48,A1BG,1,AOC2,314,-0.346,0.016,-0.236,0.106,0.12,0.056,DLBC,cBioPortal,,,,
48,A1BG,1,AOC3,8639,-0.161,0.274,-0.225,0.125,0.026,0.051,DLBC,cBioPortal,,,,
48,A1BG,1,AOX1,316,-0.161,0.274,-0.228,0.12,0.026,0.052,DLBC,cBioPortal,,,,
48,A1BG,1,AP1AR,55435,-0.62,0,-0.55,0,0.384,0.302,DLBC,cBioPortal,,,,
48,A1BG,1,AP1G1,164,-0.505,0,-0.478,0.001,0.255,0.228,DLBC,cBioPortal,,,,
48,A1BG,1,AP1G2,8906,0.315,0.029,0.342,0.017,0.099,0.117,DLBC,cBioPortal,,,,
48,A1BG,1,AP1M1,8907,0.376,0.008,0.369,0.01,0.141,0.137,DLBC,cBioPortal,,,,
48,A1BG,1,AP1S1,1174,0.58,0,0.555,0,0.336,0.308,DLBC,cBioPortal,,,,
48,A1BG,1,AP1S3,130340,-0.303,0.036,-0.316,0.028,0.092,0.1,DLBC,cBioPortal,,,,
48,A1BG,1,AP2A1,160,-0.3,0.038,-0.322,0.026,0.09,0.104,DLBC,cBioPortal,,,,
48,A1BG,1,AP2M1,1173,0.458,0.001,0.352,0.014,0.209,0.124,DLBC,cBioPortal,,,,
48,A1BG,1,AP2S1,1175,0.577,0,0.443,0.002,0.333,0.196,DLBC,cBioPortal,,,,
48,A1BG,1,AP3B1,8546,-0.59,0,-0.499,0,0.348,0.249,DLBC,cBioPortal,,,,
48,A1BG,1,AP3B2,8120,0.277,0.056,0.398,0.005,0.077,0.158,DLBC,cBioPortal,,,,
48,A1BG,1,AP3M1,26985,-0.565,0,-0.573,0,0.319,0.328,DLBC,cBioPortal,,,,
48,A1BG,1,AP3M2,10947,-0.351,0.014,-0.291,0.045,0.123,0.085,DLBC,cBioPortal,,,,
48,A1BG,1,AP4B1,10717,0.23,0.116,0.277,0.057,0.053,0.076,DLBC,cBioPortal,,,,
48,A1BG,1,AP4E1,23431,-0.613,0,-0.566,0,0.375,0.32,DLBC,cBioPortal,,,,
48,A1BG,1,AP4M1,9179,0.501,0,0.532,0,0.251,0.283,DLBC,cBioPortal,,,,
48,A1BG,1,AP4S1,11154,0.403,0.004,0.357,0.013,0.163,0.127,DLBC,cBioPortal,,,,
48,A1BG,1,APAF1,317,-0.507,0,-0.46,0.001,0.257,0.212,DLBC,cBioPortal,,,,
48,A1BG,1,APBA1,320,-0.24,0.101,-0.279,0.055,0.057,0.078,DLBC,cBioPortal,,,,
48,A1BG,1,APBA3,9546,0.414,0.003,0.221,0.131,0.171,0.049,DLBC,cBioPortal,,,,
48,A1BG,1,APBB1,322,0.339,0.018,0.394,0.006,0.115,0.155,DLBC,cBioPortal,,,,
48,A1BG,1,APBB1IP,54518,-0.367,0.01,-0.402,0.005,0.135,0.162,DLBC,cBioPortal,,,,
48,A1BG,1,APC2,10297,-0.116,0.434,0.268,0.066,0.013,0.072,DLBC,cBioPortal,,,,
48,A1BG,1,APC,324,-0.657,0,-0.567,0,0.432,0.322,DLBC,cBioPortal,,,No,Yes
48,A1BG,1,APCDD1,147495,-0.165,0.262,-0.21,0.152,0.027,0.044,DLBC,cBioPortal,,,,
48,A1BG,1,APCDD1L,164284,-0.471,0.001,-0.297,0.04,0.222,0.088,DLBC,cBioPortal,,,,
48,A1BG,1,APEH,327,0.533,0,0.48,0.001,0.284,0.231,DLBC,cBioPortal,,,,
48,A1BG,1,API5,8539,-0.465,0.001,-0.35,0.015,0.216,0.122,DLBC,cBioPortal,,,,
48,A1BG,1,APIP,51074,-0.381,0.008,-0.249,0.088,0.145,0.062,DLBC,cBioPortal,,,,
48,A1BG,1,APITD1,378708,0.121,0.412,0.252,0.084,0.015,0.063,DLBC,cBioPortal,,,,
48,A1BG,1,APLNR,187,0.261,0.073,0.301,0.038,0.068,0.09,DLBC,cBioPortal,,,Yes,Yes
48,A1BG,1,APLP1,333,0.03,0.84,0.307,0.034,0.001,0.094,DLBC,cBioPortal,,,,
48,A1BG,1,APOA1BP,128240,0.619,0,0.573,0,0.383,0.329,DLBC,cBioPortal,,,,
48,A1BG,1,APOBEC3C,27350,-0.223,0.127,-0.302,0.037,0.05,0.091,DLBC,cBioPortal,,,,
48,A1BG,1,APOBEC3D,140564,0.351,0.014,0.202,0.169,0.123,0.041,DLBC,cBioPortal,,,,
48,A1BG,1,APOBEC3F,200316,0.353,0.014,0.327,0.023,0.125,0.107,DLBC,cBioPortal,,,,
48,A1BG,1,APOC1,341,0.416,0.003,0.243,0.096,0.173,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,APOC1P1,342,0.157,0.286,0.266,0.068,0.025,0.071,DLBC,cBioPortal,,,,
48,A1BG,1,APOC2,344,0.284,0.051,0.2,0.172,0.081,0.04,DLBC,cBioPortal,,,,
48,A1BG,1,APOE,348,0.35,0.015,0.242,0.097,0.122,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,APOL6,80830,-0.338,0.019,-0.363,0.011,0.114,0.132,DLBC,cBioPortal,,,,
48,A1BG,1,APOM,55937,0.431,0.002,0.421,0.003,0.185,0.178,DLBC,cBioPortal,,,,
48,A1BG,1,APOOL,139322,-0.646,0,-0.604,0,0.418,0.365,DLBC,cBioPortal,,,,
48,A1BG,1,APP,351,-0.278,0.056,-0.277,0.057,0.077,0.076,DLBC,cBioPortal,,,,
48,A1BG,1,APPBP2,10513,-0.476,0.001,-0.535,0,0.226,0.286,DLBC,cBioPortal,,,,
48,A1BG,1,APPL1,26060,-0.381,0.008,-0.36,0.012,0.145,0.13,DLBC,cBioPortal,,,,
48,A1BG,1,APPL2,55198,-0.248,0.09,-0.34,0.018,0.061,0.116,DLBC,cBioPortal,,,,
48,A1BG,1,APRT,353,0.46,0.001,0.566,0,0.211,0.32,DLBC,cBioPortal,,,,
48,A1BG,1,APTX,54840,0.249,0.088,0.272,0.061,0.062,0.074,DLBC,cBioPortal,,,,
48,A1BG,1,AQP4,361,0.28,0.054,0.283,0.051,0.078,0.08,DLBC,cBioPortal,,,,
48,A1BG,1,AQP8,343,0.067,0.653,0.307,0.034,0.004,0.094,DLBC,cBioPortal,,,,
48,A1BG,1,AQR,9716,-0.625,0,-0.616,0,0.391,0.379,DLBC,cBioPortal,,,,
48,A1BG,1,ARAF,369,0.378,0.008,0.25,0.086,0.143,0.063,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,ARAP2,116984,-0.49,0,-0.393,0.006,0.24,0.154,DLBC,cBioPortal,,,,
48,A1BG,1,ARAP3,64411,-0.254,0.082,-0.253,0.083,0.064,0.064,DLBC,cBioPortal,,,,
48,A1BG,1,ARC,23237,0.011,0.941,0.391,0.006,0,0.153,DLBC,cBioPortal,,,,
48,A1BG,1,ARCN1,372,-0.383,0.007,-0.323,0.025,0.147,0.104,DLBC,cBioPortal,,,,
48,A1BG,1,AREG,374,-0.219,0.134,0.263,0.071,0.048,0.069,DLBC,cBioPortal,,,,
48,A1BG,1,ARF1,375,-0.169,0.25,-0.253,0.083,0.029,0.064,DLBC,cBioPortal,,,,
48,A1BG,1,ARF3,377,-0.512,0,-0.406,0.004,0.262,0.165,DLBC,cBioPortal,,,,
48,A1BG,1,ARF4,378,-0.461,0.001,-0.433,0.002,0.213,0.187,DLBC,cBioPortal,,,,
48,A1BG,1,ARF5,381,0.6,0,0.611,0,0.36,0.373,DLBC,cBioPortal,,,,
48,A1BG,1,ARF6,382,-0.315,0.029,-0.306,0.034,0.099,0.094,DLBC,cBioPortal,,,,
48,A1BG,1,ARFGAP1,55738,0.58,0,0.507,0,0.336,0.257,DLBC,cBioPortal,,,,
48,A1BG,1,ARFGAP2,84364,0.521,0,0.554,0,0.271,0.307,DLBC,cBioPortal,,,,
48,A1BG,1,ARFGEF1,10565,-0.542,0,-0.473,0.001,0.294,0.224,DLBC,cBioPortal,,,,
48,A1BG,1,ARFGEF2,10564,-0.54,0,-0.526,0,0.292,0.277,DLBC,cBioPortal,,,,
48,A1BG,1,ARFIP1,27236,-0.317,0.028,-0.347,0.016,0.101,0.121,DLBC,cBioPortal,,,,
48,A1BG,1,ARFIP2,23647,0.036,0.807,0.263,0.071,0.001,0.069,DLBC,cBioPortal,,,,
48,A1BG,1,ARFRP1,10139,0.599,0,0.58,0,0.359,0.336,DLBC,cBioPortal,,,No,No
48,A1BG,1,ARG1,383,-0.244,0.095,-0.212,0.148,0.059,0.045,DLBC,cBioPortal,,,,
48,A1BG,1,ARG2,384,-0.327,0.023,-0.258,0.077,0.107,0.067,DLBC,cBioPortal,,,,
48,A1BG,1,ARGFXP2,503640,-0.388,0.006,-0.369,0.01,0.151,0.136,DLBC,cBioPortal,,,,
48,A1BG,1,ARGLU1,55082,-0.365,0.011,-0.378,0.008,0.133,0.143,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP11A,9824,-0.651,0,-0.544,0,0.424,0.296,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP11B,89839,-0.67,0,-0.6,0,0.449,0.36,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP12,94134,-0.45,0.001,-0.475,0.001,0.202,0.226,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP1,392,-0.337,0.019,-0.365,0.011,0.113,0.133,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP17,55114,-0.303,0.037,-0.308,0.033,0.092,0.095,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP18,93663,-0.365,0.011,-0.421,0.003,0.133,0.177,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP19,84986,-0.284,0.05,-0.323,0.025,0.081,0.104,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP21,57584,-0.434,0.002,-0.378,0.008,0.188,0.143,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP22,58504,0.32,0.027,0.346,0.016,0.102,0.119,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP23,57636,-0.352,0.014,-0.343,0.017,0.124,0.118,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP24,83478,-0.194,0.187,-0.219,0.135,0.038,0.048,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP26,23092,-0.47,0.001,-0.409,0.004,0.221,0.168,DLBC,cBioPortal,,,Yes,Yes
48,A1BG,1,ARHGAP27,201176,-0.34,0.018,-0.355,0.013,0.115,0.126,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP29,9411,-0.509,0,-0.473,0.001,0.259,0.223,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP31,57514,-0.407,0.004,-0.437,0.002,0.166,0.191,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP36,158763,0.041,0.783,0.26,0.074,0.002,0.068,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP42,143872,-0.226,0.123,-0.205,0.162,0.051,0.042,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP4,393,0.484,0,0.416,0.003,0.234,0.173,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP5,394,-0.614,0,-0.534,0,0.377,0.285,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGAP9,64333,0.299,0.039,0.241,0.099,0.09,0.058,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGEF10,9639,-0.246,0.092,-0.283,0.051,0.061,0.08,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGEF11,9826,-0.439,0.002,-0.433,0.002,0.193,0.188,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGEF12,23365,-0.387,0.007,-0.378,0.008,0.15,0.143,DLBC,cBioPortal,,,Yes,Yes
48,A1BG,1,ARHGEF15,22899,-0.231,0.115,-0.202,0.168,0.053,0.041,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGEF17,9828,-0.283,0.052,-0.266,0.068,0.08,0.071,DLBC,cBioPortal,,,,
48,A1BG,1,ARHGEF19,128272,0.22,0.133,0.207,0.158,0.048,0.043,DLBC,cBioPortal,,,,
