Cancer_Type,Hugo_Symbol,Gene_Id_Entrez,Hotspot,Number_of_Mutated_Samples,Total_Number_of_Samples,Overall_Mutation_Frequency,Dataset_Name,Is_Oncogene,Is_Tumour_Suppressor_Gene,Is_WDR
LUAD,RWDD3,25950,0,4,561,0.71,cBioPortal,--,--,true
LUSC,SMU1,55234,0,1,469,0.21,cBioPortal,--,--,true
SKCM,CIRH1A,0,0,9,440,2.05,cBioPortal,--,--,true
SKCM,WDR89,112840,0,2,440,0.45,cBioPortal,--,--,true
OV,BRWD3,254065,0,8,409,1.96,cBioPortal,--,--,true
PAAD,WDR16,0,0,1,174,0.57,cBioPortal,--,--,true
PRAD,WDR88,126248,0,1,491,0.2,cBioPortal,--,--,true
UCEC,WDR11,55717,0,31,515,6.02,cBioPortal,--,--,true
UCEC,PEX7,5191,0,11,515,2.14,cBioPortal,--,--,true
STAD,HPS5,11234,0,11,435,2.53,cBioPortal,--,--,true
BRCA,WDFY4,57705,0,25,1009,2.48,cBioPortal,--,--,true
BLCA,IFT122,55764,0,8,409,1.96,cBioPortal,--,--,true
ESCA,WDR5B,54554,0,1,182,0.55,cBioPortal,--,--,true
CESC,WDR64,128025,0,7,281,2.49,cBioPortal,--,--,true
COADREAD,DCAF11,80344,0,9,528,1.7,cBioPortal,--,--,true
COADREAD,THOC3,84321,0,6,528,1.14,cBioPortal,--,--,true
GBM,RNASE7,84659,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WSB1,26118,0,2,502,0.4,cBioPortal,--,--,true
LAML,EDC4,23644,0,3,199,1.51,cBioPortal,--,--,true
KIRC,CORO2A,7464,0,1,356,0.28,cBioPortal,--,--,true
LGG,FBXO30,84085,0,2,509,0.39,cBioPortal,--,--,true
LIHC,CORO1C,23603,0,2,358,0.56,cBioPortal,--,--,true
LUAD,WDR81,124997,0,7,561,1.25,cBioPortal,--,--,true
LUSC,IFT80,57560,0,18,469,3.84,cBioPortal,--,--,true
SKCM,COPA,1314,0,23,440,5.23,cBioPortal,--,--,true
SKCM,WDR90,197335,0,29,440,6.59,cBioPortal,false,false,true
OV,BTRC,8945,0,2,409,0.49,cBioPortal,--,--,true
PAAD,SEH1L,81929,0,1,174,0.57,cBioPortal,--,--,true
PRAD,TLE3,7090,0,2,491,0.41,cBioPortal,false,false,true
UCEC,BUB3,9184,0,15,515,2.91,cBioPortal,--,--,true
UCEC,MPP7,143098,0,26,515,5.05,cBioPortal,--,--,true
STAD,SEC31A,22872,0,15,435,3.45,cBioPortal,false,false,true
BRCA,CORO2B,10391,0,3,1009,0.3,cBioPortal,--,--,true
BLCA,EML2,24139,0,9,409,2.2,cBioPortal,--,--,true
ESCA,WDR63,0,0,1,182,0.55,cBioPortal,--,--,true
CESC,BRWD1,54014,0,15,281,5.34,cBioPortal,--,--,true
COADREAD,DCAF7,10238,0,3,528,0.57,cBioPortal,--,--,true
COADREAD,SEH1L,81929,0,2,528,0.38,cBioPortal,--,--,true
GBM,FZR1,51343,0,1,393,0.25,cBioPortal,true,true,true
HNSC,CORO1B,57175,0,2,502,0.4,cBioPortal,--,--,true
LAML,HERC1,8925,0,3,199,1.51,cBioPortal,--,--,true
KIRC,BRWD3,254065,0,5,356,1.4,cBioPortal,--,--,true
LGG,DCAF13,25879,0,1,509,0.2,cBioPortal,--,--,true
LIHC,STRN,6801,0,1,358,0.28,cBioPortal,false,false,true
LUAD,EIF3B,8662,0,8,561,1.43,cBioPortal,--,--,true
LUSC,NSMAF,8439,0,7,469,1.49,cBioPortal,--,--,true
SKCM,CORO2A,7464,0,22,440,5,cBioPortal,--,--,true
SKCM,WDSUB1,151525,0,8,440,1.82,cBioPortal,--,--,true
OV,PHIP,55023,0,4,409,0.98,cBioPortal,--,--,true
PAAD,TLE2,7089,0,1,174,0.57,cBioPortal,false,false,true
PRAD,RWDD3,25950,0,1,491,0.2,cBioPortal,--,--,true
UCEC,PAAF1,80227,0,11,515,2.14,cBioPortal,--,--,true
UCEC,THOC6,79228,0,23,515,4.47,cBioPortal,--,--,true
STAD,WDR18,57418,0,3,435,0.69,cBioPortal,--,--,true
BRCA,COPA,1314,0,11,1009,1.09,cBioPortal,--,--,true
BLCA,CARD16,114769,0,2,409,0.49,cBioPortal,--,--,true
ESCA,WDR60,0,0,2,182,1.1,cBioPortal,--,--,true
CESC,WDR65,0,0,8,281,2.85,cBioPortal,--,--,true
COADREAD,DMXL2,23312,0,36,528,6.82,cBioPortal,--,--,true
COADREAD,DMWD,1762,0,5,528,0.95,cBioPortal,--,--,true
GBM,WDR93,56964,0,1,393,0.25,cBioPortal,--,--,true
HNSC,MIOS,54468,0,5,502,1,cBioPortal,--,--,true
LAML,KIAA1239,57495,0,1,199,0.5,cBioPortal,--,--,true
KIRC,WDR16,0,0,2,356,0.56,cBioPortal,--,--,true
LGG,ESR1,2099,0,2,509,0.39,cBioPortal,true,false,false
LIHC,DAW1,164781,0,1,358,0.28,cBioPortal,--,--,true
LUAD,ARPC1B,10095,0,3,561,0.53,cBioPortal,--,--,true
LUSC,PAK1IP1,55003,0,1,469,0.21,cBioPortal,--,--,true
SKCM,CORO1A,11151,0,11,440,2.5,cBioPortal,--,--,true
SKCM,WDR92,0,0,3,440,0.68,cBioPortal,--,--,true
OV,DDB2,1643,0,2,409,0.49,cBioPortal,false,true,true
PAAD,WDR7,23335,0,1,174,0.57,cBioPortal,--,--,true
PRAD,BUB3,9184,0,1,491,0.2,cBioPortal,--,--,true
UCEC,CARD16,114769,0,13,515,2.52,cBioPortal,--,--,true
UCEC,PPWD1,23398,0,21,515,4.08,cBioPortal,--,--,true
STAD,ATG16L2,89849,0,3,435,0.69,cBioPortal,--,--,true
BRCA,BRWD3,254065,0,18,1009,1.78,cBioPortal,--,--,true
BLCA,WDHD1,11169,0,10,409,2.44,cBioPortal,--,--,true
ESCA,WDR61,80349,0,1,182,0.55,cBioPortal,--,--,true
CESC,WDR63,0,0,5,281,1.78,cBioPortal,--,--,true
COADREAD,HERC1,8925,0,35,528,6.63,cBioPortal,--,--,true
COADREAD,ARPC1B,10095,0,4,528,0.76,cBioPortal,--,--,true
GBM,CORO1A,11151,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WDR77,79084,0,2,502,0.4,cBioPortal,--,--,true
LAML,STRN,6801,0,2,199,1.01,cBioPortal,false,false,true
KIRC,WDPCP,51057,0,2,356,0.56,cBioPortal,--,--,true
LGG,WDR27,253769,0,3,509,0.59,cBioPortal,--,--,true
LIHC,COPB2,9276,0,1,358,0.28,cBioPortal,--,--,true
LUAD,WRAP53,55135,0,7,561,1.25,cBioPortal,--,--,true
LUSC,DCAF13,25879,0,8,469,1.71,cBioPortal,--,--,true
SKCM,CORO1B,57175,0,6,440,1.36,cBioPortal,--,--,true
SKCM,WDR93,56964,0,24,440,5.45,cBioPortal,--,--,true
OV,APAF1,317,0,2,409,0.49,cBioPortal,--,--,true
PAAD,WDR83,84292,0,1,174,0.57,cBioPortal,--,--,true
PRAD,DCAF5,8816,0,1,491,0.2,cBioPortal,--,--,true
UCEC,HPS5,11234,0,32,515,6.21,cBioPortal,--,--,true
UCEC,STRN3,29966,0,24,515,4.66,cBioPortal,--,--,true
STAD,THOC6,79228,0,4,435,0.92,cBioPortal,--,--,true
BRCA,WDR78,0,0,6,1009,0.59,cBioPortal,--,--,true
BLCA,ELP2,55250,0,7,409,1.71,cBioPortal,false,false,true
ESCA,WDR62,284403,0,2,182,1.1,cBioPortal,--,--,true
CESC,CSTF1,1477,0,2,281,0.71,cBioPortal,--,--,true
COADREAD,TRAF7,84231,0,8,528,1.52,cBioPortal,false,false,true
COADREAD,PAN2,9924,0,6,528,1.14,cBioPortal,--,--,true
GBM,ELP2,55250,0,2,393,0.51,cBioPortal,false,false,true
HNSC,CDRT1,374286,0,3,502,0.6,cBioPortal,--,--,true
LAML,LRWD1,222229,0,1,199,0.5,cBioPortal,--,--,true
KIRC,TBL1X,6907,0,3,356,0.84,cBioPortal,--,--,true
LGG,LRWD1,222229,0,1,509,0.2,cBioPortal,--,--,true
LIHC,WDR16,0,0,1,358,0.28,cBioPortal,--,--,true
LUAD,WDR20,91833,0,4,561,0.71,cBioPortal,--,--,true
LUSC,PWP1,11137,0,3,469,0.64,cBioPortal,--,--,true
SKCM,CORO1C,23603,0,8,440,1.82,cBioPortal,--,--,true
SKCM,WDR96,0,0,42,440,9.55,cBioPortal,--,--,true
OV,ESR1,2099,0,4,409,0.98,cBioPortal,true,false,false
PAAD,TLE6,79816,0,1,174,0.57,cBioPortal,--,--,true
PRAD,WDR93,56964,0,1,491,0.2,cBioPortal,--,--,true
UCEC,AMBRA1,55626,0,46,515,8.93,cBioPortal,--,--,true
UCEC,WDR61,80349,0,11,515,2.14,cBioPortal,--,--,true
STAD,IMPACT,55364,0,2,435,0.46,cBioPortal,--,--,true
BRCA,SEC31A,22872,0,12,1009,1.19,cBioPortal,false,false,true
BLCA,TBL1Y,90665,0,3,409,0.73,cBioPortal,--,--,true
ESCA,WDR70,55100,0,2,182,1.1,cBioPortal,--,--,true
CESC,NOL10,79954,0,3,281,1.07,cBioPortal,--,--,true
COADREAD,WDR87,83889,0,42,528,7.95,cBioPortal,--,--,true
COADREAD,WDR18,57418,0,2,528,0.38,cBioPortal,--,--,true
GBM,WDR52,0,0,2,393,0.51,cBioPortal,--,--,true
HNSC,WDR55,54853,0,3,502,0.6,cBioPortal,--,--,true
LAML,SEH1L,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,TBL1Y,90665,0,1,356,0.28,cBioPortal,--,--,true
LGG,WDR31,114987,0,2,509,0.39,cBioPortal,--,--,true
LIHC,DYNC1I2,1781,0,1,358,0.28,cBioPortal,--,--,true
LUAD,DCAF4,26094,0,7,561,1.25,cBioPortal,--,--,true
LUSC,WDR54,84058,0,2,469,0.43,cBioPortal,--,--,true
SKCM,CSTF1,1477,0,5,440,1.14,cBioPortal,--,--,true
SKCM,WIPI2,26100,0,9,440,2.05,cBioPortal,--,--,true
OV,STRAP,11171,0,2,409,0.49,cBioPortal,--,--,true
PAAD,GRWD1,83743,0,1,174,0.57,cBioPortal,--,--,true
PRAD,POC1B,282809,0,3,491,0.61,cBioPortal,--,--,true
UCEC,AAAS,8086,0,21,515,4.08,cBioPortal,--,--,true
UCEC,WDR55,54853,0,25,515,4.85,cBioPortal,--,--,true
STAD,WDR64,128025,0,4,435,0.92,cBioPortal,--,--,true
BRCA,RFWD2,0,0,3,1009,0.3,cBioPortal,--,--,true
BLCA,ATG16L2,89849,0,2,409,0.49,cBioPortal,--,--,true
ESCA,WDR64,128025,0,2,182,1.1,cBioPortal,--,--,true
CESC,WDR4,10785,0,1,281,0.36,cBioPortal,--,--,true
COADREAD,WDR83OS,51398,0,1,528,0.19,cBioPortal,--,--,true
COADREAD,CIAO1,9391,0,1,528,0.19,cBioPortal,--,--,true
GBM,WDR26,80232,0,1,393,0.25,cBioPortal,--,--,true
HNSC,PRPF19,27339,0,1,502,0.2,cBioPortal,--,--,true
LAML,PAK1IP1,0,0,2,199,1.01,cBioPortal,--,--,true
KIRC,DCAF7,10238,0,1,356,0.28,cBioPortal,--,--,true
LGG,DENND3,22898,0,3,509,0.59,cBioPortal,--,--,true
LIHC,RWDD2B,10069,0,2,358,0.56,cBioPortal,--,--,true
LUAD,PPP2R2D,55844,0,3,561,0.53,cBioPortal,--,--,true
LUSC,BTRC,8945,0,4,469,0.85,cBioPortal,--,--,true
SKCM,CORO2B,10391,0,11,440,2.5,cBioPortal,--,--,true
SKCM,WDTC1,23038,0,12,440,2.73,cBioPortal,--,--,true
OV,EGFR,1956,0,6,409,1.47,cBioPortal,true,false,false
PAAD,WDR88,126248,0,1,174,0.57,cBioPortal,--,--,true
PRAD,WDPCP,51057,0,1,491,0.2,cBioPortal,--,--,true
UCEC,PWP1,11137,0,23,515,4.47,cBioPortal,--,--,true
UCEC,WDR4,10785,0,22,515,4.27,cBioPortal,--,--,true
STAD,SMU1,55234,0,5,435,1.15,cBioPortal,--,--,true
BRCA,NOL10,79954,0,4,1009,0.4,cBioPortal,--,--,true
BLCA,DCAF12,25853,0,14,409,3.42,cBioPortal,--,--,true
ESCA,WDR66,0,0,1,182,0.55,cBioPortal,--,--,true
CESC,PWP2,5822,0,7,281,2.49,cBioPortal,--,--,true
COADREAD,FBXW9,84261,0,3,528,0.57,cBioPortal,--,--,true
COADREAD,WDR53,348793,0,6,528,1.14,cBioPortal,--,--,true
GBM,CSTF1,1477,0,2,393,0.51,cBioPortal,--,--,true
HNSC,SHKBP1,92799,0,4,502,0.8,cBioPortal,--,--,true
LAML,PPP2R2A,0,0,3,199,1.51,cBioPortal,false,true,true
KIRC,PHIP,55023,0,1,356,0.28,cBioPortal,--,--,true
LGG,PPP2R2A,5520,0,2,509,0.39,cBioPortal,false,true,true
LIHC,WDR27,253769,0,4,358,1.12,cBioPortal,--,--,true
LUAD,GEMIN5,25929,0,6,561,1.07,cBioPortal,--,--,true
LUSC,PPWD1,23398,0,4,469,0.85,cBioPortal,--,--,true
SKCM,CORO6,84940,0,6,440,1.36,cBioPortal,--,--,true
SKCM,WDYHV1,0,0,3,440,0.68,cBioPortal,--,--,true
OV,TAF5L,27097,0,3,409,0.73,cBioPortal,--,--,true
PAAD,EML2,24139,0,1,174,0.57,cBioPortal,--,--,true
PRAD,CORO1A,11151,0,1,491,0.2,cBioPortal,--,--,true
UCEC,WDR66,0,0,38,515,7.38,cBioPortal,--,--,true
UCEC,SPAG16,79582,0,32,515,6.21,cBioPortal,--,--,true
STAD,DNAI2,64446,0,7,435,1.61,cBioPortal,--,--,true
BRCA,IFT80,57560,0,6,1009,0.59,cBioPortal,--,--,true
BLCA,SCAP,22937,0,10,409,2.44,cBioPortal,--,--,true
ESCA,WDR7,23335,0,3,182,1.65,cBioPortal,--,--,true
CESC,GNB1L,54584,0,1,281,0.36,cBioPortal,--,--,true
COADREAD,TLE2,7089,0,13,528,2.46,cBioPortal,false,false,true
COADREAD,TBL3,10607,0,7,528,1.33,cBioPortal,--,--,true
GBM,EML4,27436,0,1,393,0.25,cBioPortal,false,false,true
HNSC,DTL,51514,0,2,502,0.4,cBioPortal,--,--,true
LAML,TAF5,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,EML4,27436,0,1,356,0.28,cBioPortal,false,false,true
LGG,PRPF4,9128,0,1,509,0.2,cBioPortal,--,--,true
LIHC,AMBRA1,55626,0,3,358,0.84,cBioPortal,--,--,true
LUAD,DDB1,1642,0,11,561,1.96,cBioPortal,--,--,true
LUSC,TSSC1,0,0,4,469,0.85,cBioPortal,--,--,true
SKCM,CORO7,79585,0,22,440,5,cBioPortal,--,--,true
SKCM,WIPI1,55062,0,7,440,1.59,cBioPortal,--,--,true
OV,DYNC1I2,1781,0,1,409,0.24,cBioPortal,--,--,true
PAAD,STRN4,29888,0,1,174,0.57,cBioPortal,--,--,true
PRAD,HIRA,7290,0,1,491,0.2,cBioPortal,false,true,true
UCEC,KIF21A,55605,0,59,515,11.46,cBioPortal,--,--,true
UCEC,AAMP,14,0,10,515,1.94,cBioPortal,--,--,true
STAD,RFWD2,0,0,9,435,2.07,cBioPortal,--,--,true
BRCA,AMBRA1,55626,0,10,1009,0.99,cBioPortal,--,--,true
BLCA,WDR25,79446,0,5,409,1.22,cBioPortal,--,--,true
ESCA,WDR81,124997,0,1,182,0.55,cBioPortal,--,--,true
CESC,PREB,10113,0,3,281,1.07,cBioPortal,--,--,true
COADREAD,WDR35,57539,0,23,528,4.36,cBioPortal,--,--,true
COADREAD,WDR86,349136,0,8,528,1.52,cBioPortal,--,--,true
GBM,NUP43,348995,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WDR86,349136,0,2,502,0.4,cBioPortal,--,--,true
LAML,PWP2,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,DAW1,164781,0,2,356,0.56,cBioPortal,--,--,true
LGG,DNAI1,27019,0,3,509,0.59,cBioPortal,--,--,true
LIHC,FBXW11,23291,0,1,358,0.28,cBioPortal,--,--,true
LUAD,GNB4,59345,0,4,561,0.71,cBioPortal,--,--,true
LUSC,WDR3,10885,0,6,469,1.28,cBioPortal,--,--,true
SKCM,DCAF12,25853,0,10,440,2.27,cBioPortal,--,--,true
SKCM,WSB2,55884,0,4,440,0.91,cBioPortal,--,--,true
OV,WDR5B,54554,0,3,409,0.73,cBioPortal,--,--,true
PAAD,GNB1,2782,0,1,174,0.57,cBioPortal,true,false,true
PRAD,CORO1B,57175,0,1,491,0.2,cBioPortal,--,--,true
UCEC,WDR25,79446,0,26,515,5.05,cBioPortal,--,--,true
UCEC,CHAF1B,8208,0,23,515,4.47,cBioPortal,--,--,true
STAD,CARD16,114769,0,2,435,0.46,cBioPortal,--,--,true
BRCA,WDR76,79968,0,9,1009,0.89,cBioPortal,--,--,true
BLCA,PGR,5241,0,6,409,1.47,cBioPortal,true,false,false
ESCA,WDR72,256764,0,4,182,2.2,cBioPortal,--,--,true
CESC,WDR33,55339,0,10,281,3.56,cBioPortal,--,--,true
COADREAD,GRWD1,83743,0,3,528,0.57,cBioPortal,--,--,true
COADREAD,EIF3I,8668,0,5,528,0.95,cBioPortal,--,--,true
GBM,POC1A,25886,0,1,393,0.25,cBioPortal,--,--,true
HNSC,TLE3,7090,0,3,502,0.6,cBioPortal,false,false,true
LAML,GNB1,0,0,1,199,0.5,cBioPortal,true,false,true
KIRC,PBLD,64081,0,1,356,0.28,cBioPortal,--,--,true
LGG,WDR5,11091,0,1,509,0.2,cBioPortal,--,--,true
LIHC,WDR1,9948,0,1,358,0.28,cBioPortal,--,--,true
LUAD,CIAO1,9391,0,4,561,0.71,cBioPortal,--,--,true
LUSC,WRAP53,55135,0,2,469,0.43,cBioPortal,--,--,true
SKCM,DAW1,164781,0,24,440,5.45,cBioPortal,--,--,true
SKCM,WRAP53,55135,0,14,440,3.18,cBioPortal,--,--,true
OV,DTL,51514,0,3,409,0.73,cBioPortal,--,--,true
PAAD,WDR77,79084,0,1,174,0.57,cBioPortal,--,--,true
PRAD,BTRC,8945,0,1,491,0.2,cBioPortal,--,--,true
UCEC,POC1B,282809,0,22,515,4.27,cBioPortal,--,--,true
UCEC,ERCC8,1161,0,8,515,1.55,cBioPortal,--,--,true
STAD,GNB1,2782,0,3,435,0.69,cBioPortal,true,false,true
BRCA,AAAS,8086,0,2,1009,0.2,cBioPortal,--,--,true
BLCA,WDR81,124997,0,13,409,3.18,cBioPortal,--,--,true
ESCA,WDR75,84128,0,1,182,0.55,cBioPortal,--,--,true
CESC,NBEAL1,65065,0,15,281,5.34,cBioPortal,--,--,true
COADREAD,BRWD1,54014,0,27,528,5.11,cBioPortal,--,--,true
COADREAD,STRAP,11171,0,4,528,0.76,cBioPortal,--,--,true
GBM,PPP2R2C,5522,0,2,393,0.51,cBioPortal,--,--,true
HNSC,RBBP5,5929,0,2,502,0.4,cBioPortal,--,--,true
LAML,WDR5,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,APAF1,317,0,1,356,0.28,cBioPortal,--,--,true
LGG,DPH7,92715,0,1,509,0.2,cBioPortal,--,--,true
LIHC,WDR24,84219,0,1,358,0.28,cBioPortal,--,--,true
LUAD,WDR31,114987,0,2,561,0.36,cBioPortal,--,--,true
LUSC,PPP2R2B,5521,0,5,469,1.07,cBioPortal,--,--,true
SKCM,DCAF10,79269,0,6,440,1.36,cBioPortal,--,--,true
SKCM,WRAP73,49856,0,5,440,1.14,cBioPortal,--,--,true
OV,CDRT1,374286,0,4,409,0.98,cBioPortal,--,--,true
PAAD,DCAF8,50717,0,2,174,1.15,cBioPortal,--,--,true
PRAD,PPP2R2D,55844,0,1,491,0.2,cBioPortal,--,--,true
UCEC,TNFSF13B,10673,0,15,515,2.91,cBioPortal,--,--,true
UCEC,KIAA1875,0,0,24,515,4.66,cBioPortal,--,--,true
STAD,WDR83OS,51398,0,2,435,0.46,cBioPortal,--,--,true
BRCA,EIF3I,8668,0,7,1009,0.69,cBioPortal,--,--,true
BLCA,DDB2,1643,0,8,409,1.96,cBioPortal,false,true,true
ESCA,WDR76,79968,0,1,182,0.55,cBioPortal,--,--,true
CESC,AAMP,14,0,4,281,1.42,cBioPortal,--,--,true
COADREAD,HIRA,7290,0,22,528,4.17,cBioPortal,false,true,true
COADREAD,GNB2,2783,0,4,528,0.76,cBioPortal,--,--,true
GBM,FBXO30,84085,0,1,393,0.25,cBioPortal,--,--,true
HNSC,EML2,24139,0,4,502,0.8,cBioPortal,--,--,true
LAML,EDC4,0,0,3,199,1.51,cBioPortal,--,--,true
KIRC,TLE1,7088,0,1,356,0.28,cBioPortal,false,false,true
LGG,SMU1,55234,0,1,509,0.2,cBioPortal,--,--,true
LIHC,MED16,10025,0,1,358,0.28,cBioPortal,--,--,true
LUAD,ZNF106,64397,0,8,561,1.43,cBioPortal,--,--,true
LUSC,WDR1,9948,0,3,469,0.64,cBioPortal,--,--,true
SKCM,DCAF11,80344,0,19,440,4.32,cBioPortal,--,--,true
SKCM,WSB1,26118,0,6,440,1.36,cBioPortal,--,--,true
OV,DCAF4L1,285429,0,2,409,0.49,cBioPortal,--,--,true
PAAD,COPA,1314,0,1,174,0.57,cBioPortal,--,--,true
PRAD,DDB1,1642,0,2,491,0.41,cBioPortal,--,--,true
UCEC,BRCA2,675,0,80,515,15.53,cBioPortal,false,true,false
UCEC,DCAF7,10238,0,7,515,1.36,cBioPortal,--,--,true
STAD,NUP43,348995,0,4,435,0.92,cBioPortal,--,--,true
BRCA,NBEA,26960,0,18,1009,1.78,cBioPortal,--,--,true
BLCA,EML5,161436,0,15,409,3.67,cBioPortal,--,--,true
ESCA,WDR90,197335,0,2,182,1.1,cBioPortal,false,false,true
CESC,TSSC1,0,0,4,281,1.42,cBioPortal,--,--,true
COADREAD,WDR52,0,0,15,528,2.84,cBioPortal,--,--,true
COADREAD,UTP18,51096,0,4,528,0.76,cBioPortal,--,--,true
GBM,CDC20B,166979,0,1,393,0.25,cBioPortal,--,--,true
HNSC,DCAF11,80344,0,2,502,0.4,cBioPortal,--,--,true
LAML,IFT140,0,0,2,199,1.01,cBioPortal,--,--,true
KIRC,FBXW9,84261,0,1,356,0.28,cBioPortal,--,--,true
LGG,WDR45,11152,0,1,509,0.2,cBioPortal,--,--,true
LIHC,TBL1XR1,79718,0,2,358,0.56,cBioPortal,true,false,true
LUAD,FBXO30,84085,0,10,561,1.78,cBioPortal,--,--,true
LUSC,TNFSF13B,10673,0,2,469,0.43,cBioPortal,--,--,true
SKCM,DCAF4,26094,0,10,440,2.27,cBioPortal,--,--,true
OV,PPP2R2C,5522,0,2,409,0.49,cBioPortal,--,--,true
PAAD,LYST,1130,0,1,174,0.57,cBioPortal,--,--,true
PRAD,DCAF11,80344,0,1,491,0.2,cBioPortal,--,--,true
UCEC,DCAF4,26094,0,20,515,3.88,cBioPortal,--,--,true
UCEC,TRAF7,84231,0,15,515,2.91,cBioPortal,false,false,true
STAD,STXBP5L,9515,0,22,435,5.06,cBioPortal,--,--,true
STAD,PAAF1,80227,0,2,435,0.46,cBioPortal,--,--,true
BRCA,IMPACT,55364,0,2,1009,0.2,cBioPortal,--,--,true
BLCA,WDR45B,56270,0,7,409,1.71,cBioPortal,--,--,true
ESCA,WDR83,84292,0,2,182,1.1,cBioPortal,--,--,true
CESC,GTF3C2,2976,0,5,281,1.78,cBioPortal,--,--,true
COADREAD,IFT172,26160,0,25,528,4.73,cBioPortal,--,--,true
COADREAD,WDR20,91833,0,2,528,0.38,cBioPortal,--,--,true
GBM,DPH7,92715,0,2,393,0.51,cBioPortal,--,--,true
HNSC,MLST8,64223,0,1,502,0.2,cBioPortal,--,--,true
LAML,PREB,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,TSSC1,0,0,1,356,0.28,cBioPortal,--,--,true
LGG,DCAF10,79269,0,1,509,0.2,cBioPortal,--,--,true
LIHC,CORO6,84940,0,1,358,0.28,cBioPortal,--,--,true
LUAD,NSMAF,8439,0,10,561,1.78,cBioPortal,--,--,true
LUSC,GNB5,10681,0,2,469,0.43,cBioPortal,--,--,true
SKCM,DCAF12L1,139170,0,16,440,3.64,cBioPortal,--,--,true
SKCM,ZNF106,64397,0,22,440,5,cBioPortal,--,--,true
OV,GEMIN5,25929,0,1,409,0.24,cBioPortal,--,--,true
PAAD,KIF21B,23046,0,1,174,0.57,cBioPortal,--,--,true
PRAD,STRAP,11171,0,1,491,0.2,cBioPortal,--,--,true
UCEC,TEP1,7011,0,54,515,10.49,cBioPortal,--,--,true
UCEC,WDFY1,57590,0,14,515,2.72,cBioPortal,--,--,true
STAD,POC1A,25886,0,2,435,0.46,cBioPortal,--,--,true
BRCA,NSMAF,8439,0,3,1009,0.3,cBioPortal,--,--,true
BLCA,WDR78,0,0,10,409,2.44,cBioPortal,--,--,true
ESCA,WDR87,83889,0,6,182,3.3,cBioPortal,--,--,true
CESC,IFT172,26160,0,8,281,2.85,cBioPortal,--,--,true
COADREAD,EML4,27436,0,13,528,2.46,cBioPortal,false,false,true
COADREAD,CORO6,84940,0,6,528,1.14,cBioPortal,--,--,true
GBM,IMPACT,55364,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WDR83,84292,0,3,502,0.6,cBioPortal,--,--,true
LAML,TLE4,0,0,1,199,0.5,cBioPortal,false,false,true
KIRC,PAN2,9924,0,1,356,0.28,cBioPortal,--,--,true
LGG,KIAA1432,0,0,2,509,0.39,cBioPortal,--,--,true
LIHC,SH2D2A,9047,0,1,358,0.28,cBioPortal,--,--,true
LUAD,PRPF4,9128,0,2,561,0.36,cBioPortal,--,--,true
LUSC,SHKBP1,92799,0,4,469,0.85,cBioPortal,--,--,true
SKCM,DCAF12L2,340578,0,15,440,3.41,cBioPortal,--,--,true
SKCM,ZNF474,133923,0,16,440,3.64,cBioPortal,--,--,true
OV,WDR46,9277,0,1,409,0.24,cBioPortal,--,--,true
PAAD,KCTD3,51133,0,1,174,0.57,cBioPortal,--,--,true
PRAD,WDR25,79446,0,1,491,0.2,cBioPortal,--,--,true
UCEC,RNASE7,84659,0,11,515,2.14,cBioPortal,--,--,true
UCEC,WDYHV1,0,0,8,515,1.55,cBioPortal,--,--,true
STAD,DYNC1I1,1780,0,11,435,2.53,cBioPortal,--,--,true
BRCA,MAPKBP1,23005,0,9,1009,0.89,cBioPortal,--,--,true
BLCA,ARPC1A,10552,0,4,409,0.98,cBioPortal,--,--,true
ESCA,WDR89,112840,0,1,182,0.55,cBioPortal,--,--,true
CESC,WDR43,23160,0,3,281,1.07,cBioPortal,--,--,true
COADREAD,WDR54,84058,0,3,528,0.57,cBioPortal,--,--,true
COADREAD,RBBP4,5928,0,4,528,0.76,cBioPortal,--,--,true
GBM,NOL10,79954,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WRAP73,49856,0,1,502,0.2,cBioPortal,--,--,true
LAML,TBL1X,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,WDR3,10885,0,1,356,0.28,cBioPortal,--,--,true
LGG,RBBP7,5931,0,2,509,0.39,cBioPortal,--,--,true
LIHC,TNFSF13B,10673,0,1,358,0.28,cBioPortal,--,--,true
LUAD,DTL,51514,0,2,561,0.36,cBioPortal,--,--,true
LUSC,TBL2,26608,0,6,469,1.28,cBioPortal,--,--,true
SKCM,DCAF13,25879,0,15,440,3.41,cBioPortal,--,--,true
OV,DCAF8L1,139425,0,3,409,0.73,cBioPortal,--,--,true
PAAD,WDR26,80232,0,1,174,0.57,cBioPortal,--,--,true
PRAD,TECPR2,9895,0,1,491,0.2,cBioPortal,--,--,true
UCEC,DCAF11,80344,0,24,515,4.66,cBioPortal,--,--,true
UCEC,PRPF19,27339,0,24,515,4.66,cBioPortal,--,--,true
