hugo_symbol_a,hugo_symbol_b,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
WDR12,PRAMEF6,0,0,0,0,0,0,105,0,312,0,0,0,79,383,STRING_v12,,,,
ATG9B,NRBF2,0,0,0,0,0,0,0,0,0,0,0,307,81,335,STRING_v12,,,,
IL2RG,LAMP1,0,0,0,0,0,0,55,0,0,0,0,324,57,344,STRING_v12,,,,
ELN,CMA1,0,0,0,0,0,88,0,0,0,0,0,312,0,345,STRING_v12,Yes,No,,
CBSL,SLC13A2,0,0,0,0,0,0,194,0,0,0,0,0,164,297,STRING_v12,,,,
ADAMTS13,CXCL5,0,0,0,0,0,0,54,0,0,0,0,410,0,417,STRING_v12,,,,
KDM1B,SETDB2,0,0,0,0,0,49,64,0,71,0,0,312,131,415,STRING_v12,,,No,Yes
EIF5AL1,PRAMEF6,0,0,0,0,0,0,298,0,303,0,0,0,79,510,STRING_v12,,,,
MYCBPAP,RPL9,0,0,0,0,0,0,108,0,100,0,0,0,240,336,STRING_v12,,,,
MRPL3,PRAMEF6,0,56,0,0,0,0,361,0,422,0,0,0,120,652,STRING_v12,,,,
PDCD5,CARD14,0,0,0,0,0,0,73,0,0,0,0,148,171,288,STRING_v12,,,,
CSF2,CMA1,0,0,0,0,0,0,0,0,0,0,0,370,0,370,STRING_v12,,,,
CTSF,LAMP1,0,0,0,0,0,60,91,0,68,0,0,302,81,396,STRING_v12,,,,
ADGRG6,LAMP1,0,0,0,0,0,0,56,0,52,0,0,370,0,386,STRING_v12,,,,
PLK5,GLRA3,0,0,0,0,0,0,0,0,0,0,0,58,353,364,STRING_v12,,,,
CDH8,CHD8,0,0,0,0,0,0,0,0,57,0,0,471,80,500,STRING_v12,,,,
KCNA10,PRAMEF6,0,0,0,0,0,0,213,0,165,0,0,0,51,321,STRING_v12,,,,
RAD54B,POLN,0,47,0,0,0,0,56,0,60,0,0,162,154,291,STRING_v12,,,,
PRAMEF18,PRAMEF6,0,0,0,73,925,312,47,0,0,0,0,0,61,353,STRING_v12,,,,
TFEB,NRBF2,0,0,0,0,0,55,0,0,0,0,0,321,74,353,STRING_v12,No,No,,
PTCH1,TBX22,0,0,0,0,0,0,0,0,0,0,0,211,115,271,STRING_v12,No,Yes,,
BPHL,IAH1,0,0,0,0,0,54,0,0,0,0,0,226,131,308,STRING_v12,,,,
GTF2A2,PCBD2,0,0,0,0,0,44,0,0,0,0,0,202,130,278,STRING_v12,,,,
MRPL16,RPL9,0,86,0,0,0,72,591,222,497,0,0,147,194,880,STRING_v12,,,,
FGF20,EOMES,0,0,0,0,0,42,67,0,0,0,0,230,68,272,STRING_v12,,,,
CLK4,LYSMD3,0,0,0,0,0,100,0,0,0,0,0,184,119,296,STRING_v12,,,,
RHOB,CCM2,0,0,0,0,0,0,55,143,78,0,0,91,93,272,STRING_v12,,,,
NTM,NFASC,0,0,0,0,591,137,74,0,49,0,0,150,93,307,STRING_v12,,,,
TNPO2,IPO11,0,0,0,0,0,62,0,0,0,0,0,577,275,687,STRING_v12,,,,
TMEM156,NFXL1,0,0,0,0,0,0,0,0,0,0,0,248,166,346,STRING_v12,,,,
NDUFC2,USP35,0,0,0,0,0,44,0,0,0,0,0,271,0,273,STRING_v12,,,,
SYT1,SCAMP1,0,0,0,0,0,54,0,0,0,0,0,224,78,264,STRING_v12,,,,
NOS1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,376,204,482,STRING_v12,,,,
RAD51D-2,POLN,0,54,0,0,0,0,123,0,126,0,0,125,179,384,STRING_v12,,,,
CCL5,CMA1,0,0,0,0,0,48,105,0,0,0,0,390,0,434,STRING_v12,,,,
CHAT,TRPV1,0,0,0,0,0,0,0,0,0,0,0,305,0,305,STRING_v12,,,,
INS,EOMES,0,0,0,0,0,0,0,0,0,0,0,257,52,265,STRING_v12,,,,
SGPL1,PCBD2,0,0,0,0,0,42,0,0,56,0,0,0,248,260,STRING_v12,,,,
CIT,PLEKHG4,0,0,0,0,0,63,0,0,0,400,0,0,0,413,STRING_v12,,,,
IRF4,EOMES,0,0,0,0,0,56,101,0,45,0,0,540,67,588,STRING_v12,Yes,No,,
SYNM,MRGPRE,0,0,0,354,0,0,0,0,0,0,0,0,0,354,STRING_v12,,,,
ANKZF1,RPL9,0,0,0,0,0,56,0,0,429,0,0,0,0,437,STRING_v12,,,,
ATP6V1G1,LAMP1,0,0,0,0,0,42,0,0,71,0,0,228,92,292,STRING_v12,,,,
THBS4,MFAP5,0,0,0,0,0,109,109,0,0,0,0,220,45,329,STRING_v12,,,,
IL1B,SRGN,0,0,0,0,0,241,60,0,0,0,0,559,0,657,STRING_v12,,,,
ADAMTS2,PYCR1,0,0,0,0,0,42,0,0,0,0,0,625,0,625,STRING_v12,,,,
STIM1,LAMP1,0,0,0,0,0,44,0,109,0,0,0,203,0,261,STRING_v12,,,,
KDM3A,SETDB2,0,0,0,0,0,49,0,0,0,0,0,293,68,318,STRING_v12,,,No,Yes
CHCHD1,FXR2,0,0,0,0,0,62,63,0,0,0,0,108,204,292,STRING_v12,,,,
MBNL1,FXR2,0,0,0,0,0,163,0,0,0,0,0,269,115,411,STRING_v12,,,,
C3orf14,ZNF525,0,0,0,0,0,0,0,0,0,0,0,323,0,323,STRING_v12,,,,
NUDCD2,RPL9,0,0,0,0,0,159,0,292,0,0,0,0,0,379,STRING_v12,,,,
COL23A1,CRTAP,0,0,0,0,0,0,0,0,0,500,0,0,47,503,STRING_v12,,,,
VAMP7,LAMP1,0,0,0,0,0,44,88,228,45,0,0,706,159,804,STRING_v12,,,,
RDX,CCM2,0,0,0,0,0,0,0,0,66,0,0,320,66,354,STRING_v12,,,,
VPS18,GNPTAB,0,0,0,0,0,60,0,0,0,0,0,164,154,277,STRING_v12,,,,
SOCS6,TYK2,0,0,0,0,0,0,0,0,91,650,0,240,45,738,STRING_v12,,,Yes,No
GART,RPL9,0,0,0,0,0,560,67,0,0,0,0,63,0,581,STRING_v12,,,,
MSH4,POLN,0,0,0,0,0,49,62,0,64,0,0,215,156,345,STRING_v12,,,,
CCL3L1,CXCL5,0,0,0,0,0,60,128,0,0,0,0,289,251,505,STRING_v12,,,,
TAFA1,GLRA3,0,0,0,0,0,67,0,0,0,0,0,316,107,380,STRING_v12,,,,
AK3,CARD14,0,0,0,0,0,0,110,0,133,0,184,0,91,351,STRING_v12,,,,
TRAF1,TYK2,0,0,0,0,0,74,57,0,90,0,0,200,65,297,STRING_v12,,,Yes,No
SLC6A20,ATP13A5,0,0,0,0,0,0,0,0,0,0,0,245,137,320,STRING_v12,,,,
GPR143,IAH1,0,0,0,0,0,0,0,0,0,0,520,0,158,578,STRING_v12,,,,
MYOF,LAMP1,0,0,0,0,0,67,55,128,0,0,0,99,111,271,STRING_v12,,,,
SLC18A3,TRPV1,0,0,0,0,0,0,0,0,0,0,0,304,0,304,STRING_v12,,,,
TNFSF10,CXCL5,0,0,0,0,0,0,0,0,0,0,0,290,0,290,STRING_v12,,,,
CCT8,RPL9,0,0,0,242,0,665,0,0,0,0,0,104,0,752,STRING_v12,,,,
ZNF613,ZNF525,0,0,0,88,878,264,0,0,0,0,0,0,0,300,STRING_v12,,,,
SPCS3,RPL9,0,0,0,0,0,54,99,0,0,400,0,110,76,502,STRING_v12,,,,
KIF3C,FXR2,0,0,0,0,0,49,0,0,0,0,0,520,90,548,STRING_v12,,,,
GOLGA2,LAMP1,0,0,0,0,0,85,54,0,0,0,0,621,80,657,STRING_v12,,,,
SLC9A3,SLC13A2,0,51,0,0,0,60,110,0,0,0,0,375,90,466,STRING_v12,,,,
ERO1A,SECISBP2L,0,0,0,0,0,0,102,0,130,0,0,0,136,266,STRING_v12,,,,
CARD16,SRGN,0,0,0,0,0,224,55,0,0,0,0,116,0,295,STRING_v12,,,,
SH2B1,TYK2,0,0,0,0,0,191,0,0,89,0,0,91,67,291,STRING_v12,,,Yes,No
JAG1,MFAP5,0,0,0,0,0,44,54,0,0,0,0,257,0,269,STRING_v12,,,,
MYCBPAP,LYSMD3,0,0,0,0,0,0,0,0,0,0,0,305,0,305,STRING_v12,,,,
PARP6,RPL9,0,95,0,0,0,0,400,0,512,0,0,0,47,713,STRING_v12,,,,
PRICKLE2,PTPRU,0,0,0,0,0,80,0,0,0,0,0,663,0,676,STRING_v12,,,,
CD276,EOMES,0,0,0,0,0,0,0,0,0,0,0,595,44,596,STRING_v12,Yes,No,,
H2BC21,CHD8,0,0,0,0,0,0,0,186,146,0,0,167,57,380,STRING_v12,,,,
APLP2,NFASC,0,0,0,0,0,0,55,0,309,0,0,55,0,329,STRING_v12,,,,
DNMT3A,CHD8,0,0,0,0,0,63,0,0,91,0,0,293,0,345,STRING_v12,No,Yes,,
APOE,LAMP1,0,0,0,0,0,61,87,0,0,0,0,355,128,453,STRING_v12,,,,
MYC,CHD8,0,0,0,0,0,0,0,164,0,0,0,246,0,342,STRING_v12,Yes,No,,
ZNF675,ZNF525,0,0,0,85,907,259,0,0,0,0,0,0,0,293,STRING_v12,,,,
FDXACB1,PRAMEF6,0,0,0,0,0,0,205,0,0,0,0,0,116,267,STRING_v12,,,,
ATP6V1B2,LAMP1,0,0,0,0,0,88,53,0,91,0,0,321,127,449,STRING_v12,No,Yes,,
ACO2,SRGN,0,0,0,0,0,0,0,0,0,0,0,0,353,353,STRING_v12,,,,
IL1RN,CARD14,0,0,0,0,0,54,0,0,0,0,0,276,0,285,STRING_v12,,,,
MTHFSD,MFAP5,0,0,0,0,0,0,0,0,0,0,0,212,114,271,STRING_v12,,,,
PSMB8,SRGN,0,0,0,0,0,197,47,0,0,0,0,203,137,403,STRING_v12,,,,
ZER1,PRAMEF6,0,0,0,0,0,0,0,0,0,900,0,0,52,901,STRING_v12,,,,
CTDSPL2,PLEKHG4,0,0,0,0,0,0,0,0,98,0,0,199,116,305,STRING_v12,,,,
SHANK1,CHD8,0,0,0,0,0,0,0,0,99,0,0,289,46,335,STRING_v12,,,,
VPS72,CHD8,0,0,0,0,0,49,0,0,263,0,0,0,91,307,STRING_v12,,,,
COL11A1,MFAP5,0,0,0,0,0,181,52,0,0,0,0,431,0,519,STRING_v12,,,,
SMARCA1,CHD8,0,0,0,168,730,0,51,0,298,0,0,135,64,469,STRING_v12,Yes,Yes,,
RSL1D1,PRAMEF6,0,0,0,0,0,0,109,0,306,0,0,0,0,355,STRING_v12,,,,
OXTR,TRPV1,0,0,0,0,0,0,0,0,45,0,0,307,0,309,STRING_v12,,,,
WDR91,GNPTAB,0,0,0,0,0,186,0,0,0,0,0,271,159,457,STRING_v12,,,,
RAB9A,SCAMP1,0,0,0,0,0,49,0,84,0,0,0,460,0,488,STRING_v12,,,,
CCT4,FXR2,0,0,0,0,0,180,67,0,92,0,0,72,62,285,STRING_v12,,,,
PLAU,CXCL5,0,0,0,0,0,72,120,0,0,0,0,302,47,384,STRING_v12,,,,
TP53,LAMP1,0,0,0,0,0,0,0,164,0,0,0,400,0,476,STRING_v12,No,Yes,,
TMEM38B,CRTAP,0,0,0,0,0,42,0,0,0,0,0,799,204,833,STRING_v12,,,,
EIF3D,RPL9,0,0,0,0,0,435,189,0,0,0,0,64,52,539,STRING_v12,,,,
EDN1,CXCL5,0,0,0,0,0,56,56,0,0,0,0,246,0,269,STRING_v12,,,,
ADAMTSL5,CARD14,0,0,0,0,0,49,0,0,45,0,0,414,74,441,STRING_v12,,,,
BCS1L,PRAMEF6,0,0,0,0,0,0,103,0,287,0,0,0,46,336,STRING_v12,,,,
CDC20,USP35,0,0,0,0,0,0,0,0,180,0,0,102,95,275,STRING_v12,,,,
CATSPER1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,213,138,292,STRING_v12,,,,
DKC1,RPL9,0,102,0,0,0,107,195,0,0,0,0,77,118,378,STRING_v12,,,,
PENK,TRPV1,0,0,0,0,0,0,0,0,0,0,0,324,187,426,STRING_v12,,,,
PHF3,CHD8,0,0,0,0,0,149,140,0,65,0,0,223,163,473,STRING_v12,,,,
POLR2K,CHD8,0,0,0,0,0,0,0,0,297,0,0,0,57,308,STRING_v12,,,,
ATG10,LAMP1,0,0,0,0,0,0,0,0,0,0,0,368,182,460,STRING_v12,,,,
GTPBP3,PPIAL4C,0,55,0,0,0,0,0,0,386,0,0,0,0,394,STRING_v12,,,,
TBL1Y,PPIAL4C,0,0,0,0,0,0,69,0,251,0,0,0,114,328,STRING_v12,,,,
BTLA,LAMP1,0,0,0,0,0,0,58,0,0,0,0,295,0,307,STRING_v12,No,No,,
OMD,MFAP5,0,0,0,0,0,245,107,0,0,0,0,58,0,309,STRING_v12,No,No,,
GARS1,PPIAL4C,0,0,0,0,0,0,238,0,133,0,0,0,57,322,STRING_v12,,,,
LIAS,RPL9,0,0,0,0,0,48,0,0,0,0,0,272,243,429,STRING_v12,,,,
CACYBP,NRBF2,0,0,0,0,0,0,0,0,0,0,0,85,252,286,STRING_v12,,,,
ESR1,ARNTL2,0,0,0,0,0,0,0,0,183,0,0,125,85,288,STRING_v12,Yes,No,,
TMEM30B,ATP13A5,0,0,0,0,0,0,0,0,300,0,0,0,92,337,STRING_v12,,,,
ATXN10,PLEKHG4,0,0,0,0,0,0,87,0,0,0,0,663,0,679,STRING_v12,,,,
GEMIN2,PCBD2,0,0,0,0,0,67,0,0,0,0,0,60,253,287,STRING_v12,,,,
SLC32A1,GLRA3,0,0,0,0,0,67,55,0,0,0,0,220,197,373,STRING_v12,,,,
EPHA4,CCM2,0,0,0,0,0,0,0,0,98,0,0,318,0,358,STRING_v12,,,,
ISLR,MFAP5,0,0,0,0,0,199,0,0,0,0,0,137,44,281,STRING_v12,,,,
ADGRE5,LAMP1,0,0,0,0,0,45,56,0,52,0,0,167,353,455,STRING_v12,,,,
NES,LAMP1,0,0,0,0,0,42,0,0,0,0,0,220,101,269,STRING_v12,,,,
DHX38,CHD8,0,0,0,0,0,245,0,0,87,0,0,0,65,299,STRING_v12,,,,
CD96,LAMP1,0,0,0,0,0,0,59,0,0,0,0,311,0,323,STRING_v12,,,,
SPI1,DTX1,0,0,0,0,0,81,0,0,0,0,0,270,61,315,STRING_v12,,,No,Yes
ACOT9,LYSMD3,0,0,0,0,0,0,81,0,0,0,0,224,90,294,STRING_v12,,,,
LRRN4CL,PCBD2,0,0,0,0,0,49,0,0,0,0,0,311,91,352,STRING_v12,,,,
FGFR2,EOMES,0,0,0,0,0,0,0,0,46,0,0,270,49,279,STRING_v12,Yes,No,,
HMGCR,CMA1,0,0,0,0,0,0,0,0,0,0,0,343,45,345,STRING_v12,,,,
RETN,CXCL5,0,0,0,0,0,58,0,0,0,0,0,311,82,352,STRING_v12,,,,
KCNMA1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,370,100,408,STRING_v12,,,,
TUBB1,SECISBP2L,0,0,0,0,0,0,242,0,130,0,0,73,53,343,STRING_v12,,,,
CTH,TRPV1,0,0,0,0,0,0,0,0,0,0,0,248,70,270,STRING_v12,,,,
FUT7,EOMES,0,0,0,0,0,62,53,0,51,0,0,339,0,368,STRING_v12,,,,
TYROBP,EOMES,0,0,0,0,0,80,87,0,0,0,0,222,0,289,STRING_v12,,,,
ZNF551,ZNF525,0,0,0,103,861,255,0,0,0,0,0,0,0,303,STRING_v12,,,,
TEDDM1,SLC13A2,0,0,0,0,0,44,55,0,0,0,0,248,0,261,STRING_v12,,,,
DNAJC25,RPL9,0,0,0,0,0,0,63,314,261,0,0,0,53,489,STRING_v12,,,,
POLM,POLN,0,0,0,0,0,49,109,0,56,0,0,725,155,780,STRING_v12,,,,
KIF21B,TYK2,0,0,0,0,0,58,0,0,83,0,0,219,52,274,STRING_v12,,,Yes,No
PPP1R26,RPL9,0,50,0,0,0,0,591,0,497,0,0,60,194,824,STRING_v12,,,,
NLGN4X,FXR2,0,0,0,0,0,0,0,0,0,0,0,321,89,354,STRING_v12,,,,
RELB,CARD14,0,0,0,0,0,42,0,0,125,0,0,202,49,278,STRING_v12,,,,
HSD3B1,RPL9,0,0,0,0,0,0,130,0,431,0,0,0,51,489,STRING_v12,Yes,No,,
SLC25A16,RPL9,0,0,0,0,0,42,140,0,297,0,0,0,0,370,STRING_v12,,,,
NAAA,TRPV1,0,0,0,0,0,0,0,0,0,0,0,505,80,525,STRING_v12,,,,
PIK3CA,NRBF2,0,0,0,0,0,99,0,0,0,360,0,0,86,426,STRING_v12,Yes,No,,
WDR31,RPL9,0,0,0,0,0,0,677,0,746,0,0,0,66,916,STRING_v12,,,,
HEYL,DTX1,0,0,0,0,0,42,0,0,71,0,0,348,44,371,STRING_v12,,,No,Yes
STING1,TYK2,0,0,0,0,0,67,55,0,54,0,0,246,0,286,STRING_v12,,,Yes,No
RPS23,PRAMEF6,0,57,0,0,0,0,386,0,314,0,0,0,133,609,STRING_v12,,,,
KDM5A,PRAMEF6,0,0,0,0,0,0,294,0,0,0,0,0,0,294,STRING_v12,Yes,No,,
EEF1G,PPIAL4C,0,0,0,0,0,0,107,0,52,0,0,0,203,266,STRING_v12,,,,
HES1,DTX1,0,0,0,0,0,0,0,0,71,0,0,292,89,348,STRING_v12,,,No,Yes
BHLHE40,ARNTL2,0,0,0,0,0,0,0,0,89,0,0,669,82,699,STRING_v12,,,,
FN1,LAMP1,0,0,0,0,0,42,0,0,0,0,0,635,0,635,STRING_v12,,,,
DYSF,LAMP1,0,0,0,0,0,47,55,0,0,0,0,199,137,294,STRING_v12,,,,
CEACAM8,CXCL5,0,0,0,0,0,42,67,0,0,0,0,327,0,345,STRING_v12,,,,
S100A7,CXCL5,0,0,0,0,0,48,0,0,0,0,0,398,0,402,STRING_v12,,,,
AK4,CARD14,0,0,0,0,0,0,110,0,133,0,184,0,91,351,STRING_v12,,,,
PXDNL,TYK2,0,0,0,0,0,0,52,0,0,0,0,290,66,316,STRING_v12,,,Yes,No
PTF1A,EOMES,0,0,0,0,0,0,50,0,66,0,0,220,62,263,STRING_v12,,,,
OLIG1,EOMES,0,0,0,0,0,0,57,0,46,0,0,255,100,316,STRING_v12,,,,
TTC8,TRPV1,0,0,0,0,0,49,0,0,0,0,0,513,57,525,STRING_v12,,,,
TSC2,CHD8,0,0,0,0,0,86,0,0,0,0,0,348,51,385,STRING_v12,No,Yes,,
LY96,SRGN,0,0,0,217,0,258,0,0,0,0,0,0,0,394,STRING_v12,,,,
GLCCI1,NRBF2,0,0,0,0,0,0,0,0,0,0,0,104,213,264,STRING_v12,,,,
CA7,SLC13A2,0,0,0,0,0,62,89,0,0,0,0,148,107,262,STRING_v12,,,,
TOMM20,LAMP1,0,0,0,0,0,74,0,0,0,0,0,583,115,628,STRING_v12,,,,
IRGM,LAMP1,0,0,0,0,0,0,46,0,0,0,0,322,0,325,STRING_v12,,,,
CCL24,CMA1,0,0,0,0,0,62,47,0,0,0,0,464,0,479,STRING_v12,,,,
SNRNP70,FXR2,0,0,0,0,0,163,0,165,0,0,0,91,57,320,STRING_v12,,,,
S100A12,CXCL5,0,0,0,0,0,72,52,0,0,0,0,324,0,353,STRING_v12,,,,
NR2C2,RPL9,0,0,0,0,0,0,0,292,97,0,0,0,65,350,STRING_v12,,,,
PCDH18,LYSMD3,0,0,0,0,0,0,0,0,0,0,0,201,349,457,STRING_v12,,,,
MPHOSPH8,CHD8,0,0,0,0,0,79,56,0,293,0,0,0,91,366,STRING_v12,,,,
WWOX,PCBD2,0,0,0,0,0,0,74,0,0,0,215,0,104,291,STRING_v12,,,,
KLF4,EOMES,0,0,0,0,0,0,0,0,54,0,0,433,52,447,STRING_v12,Yes,Yes,,
RINT1,NFXL1,0,0,0,0,0,182,549,0,0,0,0,0,0,615,STRING_v12,,,,
ATXN2,PLEKHG4,0,0,0,0,0,0,0,0,0,0,0,581,0,581,STRING_v12,No,Yes,,
ZBTB38,SETDB2,0,0,0,0,0,0,67,0,95,0,0,261,122,378,STRING_v12,,,No,Yes
ANAPC16,PYCR1,0,0,0,0,0,0,0,456,0,0,0,0,0,456,STRING_v12,,,,
AGTR1,CMA1,0,0,0,0,0,65,0,0,52,0,0,602,0,616,STRING_v12,,,,
CELSR2,PTPRU,0,0,0,0,0,103,87,0,0,0,0,414,0,478,STRING_v12,,,,
MKI67,RPL9,0,0,0,0,0,42,0,292,0,0,0,0,0,292,STRING_v12,Yes,No,,
RTEL1,POLN,0,0,0,0,0,0,91,0,0,0,0,148,166,297,STRING_v12,No,Yes,,
SLC1A5,PLEKHG4,0,0,0,0,0,83,0,0,0,400,0,0,0,426,STRING_v12,,,,
RAP1GAP,EOMES,0,0,0,0,0,0,0,0,49,0,0,448,0,452,STRING_v12,,,,
MRPL41,RPL9,0,0,0,0,0,72,80,0,814,0,0,0,0,827,STRING_v12,,,,
ARSA,GNPTAB,0,0,0,0,0,0,0,0,89,0,0,223,0,261,STRING_v12,,,,
BAZ2B,SETDB2,0,0,0,0,0,67,67,0,44,0,0,447,75,496,STRING_v12,,,No,Yes
CCL4,EOMES,0,0,0,0,0,84,0,0,0,0,0,350,57,389,STRING_v12,,,,
LY86,SRGN,0,0,0,0,0,246,55,0,0,0,0,82,93,327,STRING_v12,,,,
DNAJC10,PPIAL4C,0,41,0,0,0,0,61,0,279,0,0,0,102,338,STRING_v12,,,,
IL6,CMA1,0,0,0,0,0,0,0,0,0,0,0,541,0,541,STRING_v12,,,,
CMTR1,FXR2,0,0,0,0,0,103,0,292,0,0,0,0,0,337,STRING_v12,,,,
KCNA3,TRPV1,0,0,0,0,0,0,0,0,0,0,0,392,52,398,STRING_v12,,,,
SLC25A6,PPIAL4C,0,0,0,0,0,0,120,0,253,0,0,0,72,336,STRING_v12,,,,
CAMK2N1,SCAMP1,0,0,0,0,0,0,0,0,0,0,0,104,351,393,STRING_v12,,,,
THOP1,CMA1,0,0,0,0,0,0,0,0,0,0,0,311,52,318,STRING_v12,,,,
EPRS1,PRAMEF6,0,0,0,0,0,0,301,0,291,0,0,0,141,537,STRING_v12,,,,
LRRC6,PLEKHG4,0,0,0,0,0,0,0,0,0,0,0,135,209,286,STRING_v12,,,,
TGFBR3,SRGN,0,0,0,0,0,42,0,0,0,0,0,336,0,336,STRING_v12,,,,
UBAP2,CHD8,0,0,0,0,0,213,55,0,86,0,0,0,115,317,STRING_v12,,,,
REST,CHD8,0,0,0,0,0,49,67,292,102,0,0,220,0,479,STRING_v12,No,Yes,,
CXCL12,EOMES,0,0,0,0,0,43,0,0,0,0,0,270,0,271,STRING_v12,,,,
QARS1,RPL9,0,0,0,0,0,166,401,0,498,0,0,0,194,770,STRING_v12,,,,
DNAJC13,SCAMP1,0,0,0,0,0,49,55,216,0,0,0,88,51,279,STRING_v12,,,,
RORB,EOMES,0,0,0,0,0,42,0,0,0,0,0,279,81,309,STRING_v12,,,,
PURB,FXR2,0,0,0,0,0,92,0,0,108,0,0,181,136,350,STRING_v12,,,,
AUH,RPL9,0,0,0,0,0,55,0,0,312,0,0,0,0,322,STRING_v12,,,,
KIRREL1,PTPRU,0,0,0,0,0,107,52,0,69,0,0,290,65,381,STRING_v12,,,,
ATG9A,NRBF2,0,0,0,0,0,42,0,0,0,0,0,251,91,290,STRING_v12,,,,
UBL5,IPO11,0,0,0,0,0,54,0,0,0,0,0,63,243,270,STRING_v12,,,,
DRG2,SCAMP1,0,0,0,0,0,42,67,0,0,0,0,148,295,391,STRING_v12,,,,
ATP6V1A,LAMP1,0,0,0,0,0,88,0,143,0,0,0,366,115,502,STRING_v12,,,,
ANLN,PYCR1,0,0,0,0,0,109,0,292,0,0,0,56,0,352,STRING_v12,,,,
COL5A2,MFAP5,0,0,0,0,0,195,113,0,0,0,0,433,0,559,STRING_v12,,,,
ALB,EOMES,0,0,0,0,0,0,0,0,0,0,0,311,51,318,STRING_v12,No,No,,
RFX5,EOMES,0,0,0,0,0,42,42,0,0,0,0,0,279,280,STRING_v12,,,,
LUM,MFAP5,0,0,0,0,0,128,194,0,0,0,0,348,43,502,STRING_v12,,,,
PLCD4,IPO11,0,0,0,0,0,0,0,421,0,0,0,0,57,430,STRING_v12,,,,
COL4A2,MFAP5,0,0,0,0,0,84,52,0,0,0,0,220,0,263,STRING_v12,,,,
CASP3,TYK2,0,0,0,0,0,42,78,0,67,0,0,291,66,354,STRING_v12,,,Yes,No
ACE2,CXCL5,0,0,0,0,0,0,0,0,0,0,0,270,0,270,STRING_v12,,,,
H4C4,CHD8,0,0,0,0,0,0,0,0,239,0,0,0,90,277,STRING_v12,,,,
CDKN2A,LAMP1,0,0,0,0,0,42,0,0,46,0,0,290,0,294,STRING_v12,No,Yes,,
CNKSR1,TRPV1,0,0,0,0,0,56,56,0,0,0,0,0,280,302,STRING_v12,,,,
SCN2A,NFASC,0,0,0,0,0,138,93,0,0,500,0,571,68,815,STRING_v12,,,,
BAZ1B,CHD8,0,0,0,0,0,190,209,0,181,0,0,222,90,560,STRING_v12,,,,
DHRS4L2,PCBD2,0,0,0,0,0,0,74,0,0,0,215,0,111,297,STRING_v12,,,,
RPLP0,IPO11,0,0,0,0,0,67,0,0,64,0,0,0,238,276,STRING_v12,,,,
SLC7A5,LAMP1,0,0,0,0,0,62,55,122,46,0,0,177,0,277,STRING_v12,,,,
MPO,CMA1,0,0,0,0,0,56,0,0,44,0,0,524,79,551,STRING_v12,,,,
WDR20,USP35,0,0,0,0,0,49,55,0,184,0,0,0,187,324,STRING_v12,,,,
HES4,DTX1,0,0,0,0,0,0,0,0,71,0,0,474,89,515,STRING_v12,,,No,Yes
CXCL16,EOMES,0,0,0,0,0,47,0,0,0,0,0,269,0,273,STRING_v12,,,,
CRNKL1,PPIAL4C,0,0,0,0,0,0,98,0,265,0,0,0,57,320,STRING_v12,,,,
IQGAP1,PLEKHG4,0,0,0,0,0,0,67,0,0,400,0,0,0,416,STRING_v12,Yes,No,,
PARL,USP35,0,0,0,0,0,0,0,0,0,0,0,358,91,391,STRING_v12,,,,
CBX3,CHD8,0,0,0,0,0,75,0,94,130,0,0,80,163,336,STRING_v12,,,,
COL4A1,MFAP5,0,0,0,0,0,105,55,0,0,0,0,279,0,336,STRING_v12,,,,
ATP6AP1L,ATP13A5,0,0,0,0,0,0,0,0,0,0,0,249,80,279,STRING_v12,,,,
PLOD1,PYCR1,0,0,0,0,0,109,0,0,0,0,0,211,42,267,STRING_v12,,,,
CSNK2A3,PPIAL4C,0,0,0,0,0,0,0,0,257,0,0,0,51,264,STRING_v12,,,,
NLGN3,GNPTAB,0,0,0,0,0,0,0,0,45,0,0,0,290,292,STRING_v12,,,,
PRODH2,PYCR1,0,61,0,0,0,49,0,0,71,900,0,0,169,918,STRING_v12,,,,
CSPG4,SRGN,0,0,0,0,0,0,0,0,0,0,0,310,0,309,STRING_v12,,,,
LYST,POLN,0,0,0,0,0,0,0,0,0,0,0,0,353,353,STRING_v12,,,,
DOCK4,RPL9,0,57,0,0,0,0,679,0,719,0,0,63,197,924,STRING_v12,,,,
PSMB1,SETDB2,0,0,0,0,0,44,0,0,45,0,0,63,353,372,STRING_v12,,,No,Yes
MRPL22,PRAMEF6,0,56,0,0,0,0,361,0,428,0,0,0,120,655,STRING_v12,,,,
WDR37,USP35,0,0,0,0,0,85,0,0,180,0,0,0,95,261,STRING_v12,,,,
IKZF1,EOMES,0,0,0,0,0,74,99,0,54,0,0,348,52,423,STRING_v12,No,No,,
IL2RA,LAMP1,0,0,0,0,0,0,0,0,0,0,0,306,49,311,STRING_v12,,,,
SATB1,EOMES,0,0,0,0,0,58,75,0,0,0,0,313,161,430,STRING_v12,,,,
CASR,CHD8,0,0,0,0,0,0,57,292,46,0,0,0,0,307,STRING_v12,,,,
